,score
0,-20
1,-40
2,-40
3,-40
4,-40
5,-60
6,-60
7,-40
8,-60
9,-40
10,-80
11,-60
12,-20
13,-60
14,-40
15,-40
16,-40
17,-40
18,-60
19,-60
20,0
21,-20
22,-20
23,-80
24,-40
25,-20
26,-20
27,-60
28,-40
29,-60
30,-60
31,0
32,-60
33,-80
34,-20
35,-60
36,0
37,-40
38,-40
39,-80
40,0
41,-60
42,-40
43,-20
44,-60
45,-60
46,-60
47,32
48,-40
49,-20
50,-20
51,-60
52,-40
53,-60
54,-20
55,-60
56,-80
57,-60
58,-60
59,-80
60,-20
61,-60
62,-20
63,-20
64,-20
65,-20
66,0
67,-20
68,0
69,-20
70,-40
71,-80
72,-60
73,-20
74,-20
75,-60
76,-60
77,-20
78,-60
79,-40
80,-40
81,-80
82,-60
83,-60
84,-40
85,-20
86,-40
87,-20
88,-20
89,-20
90,0
91,-20
92,-60
93,-60
94,-40
95,0
96,0
97,-20
98,-40
99,-80
100,-40
101,-80
102,-40
103,0
104,-40
105,-40
106,-60
107,-20
108,-20
109,-40
110,0
111,-40
112,-20
113,-20
114,-40
115,-40
116,-40
117,-40
118,-20
119,-40
120,-60
121,-60
122,-80
123,-20
124,-20
125,-20
126,0
127,-40
128,-60
129,-40
130,-40
131,-20
132,-40
133,-100
134,-60
135,0
136,-60
137,-40
138,-100
139,0
140,-20
141,-40
142,-40
143,-40
144,-40
145,-40
146,-80
147,-60
148,-60
149,-60
150,0
151,-60
152,-20
153,-40
154,-40
155,-80
156,-40
157,-80
158,-40
159,-40
160,-40
161,-20
162,-20
163,-20
164,-20
165,-20
166,-40
167,-20
168,-40
169,-100
170,-20
171,-20
172,-60
173,-60
174,-60
175,-40
176,-60
177,-20
178,-20
179,-40
180,-60
181,-20
182,-80
183,-40
184,-40
185,0
186,-40
187,-100
188,-80
189,-60
190,-20
191,-20
192,-20
193,-60
194,-80
195,-40
196,-60
197,-60
198,-40
199,-40
200,0
201,-20
202,-40
203,-20
204,-60
205,-60
206,-40
207,-20
208,-20
209,-60
210,-20
211,-40
212,-40
213,-60
214,-40
215,-20
216,0
217,-60
218,-20
219,-60
220,-60
221,-60
222,-60
223,-40
224,-20
225,-20
226,-20
227,-60
228,0
229,-20
230,-40
231,-20
232,-40
233,-60
234,-20
235,-20
236,-60
237,-60
238,-40
239,-40
240,0
241,-20
242,-60
243,-20
244,-20
245,-60
246,24
247,-60
248,-20
249,0
250,0
251,0
252,-40
253,-20
254,-60
255,-40
256,-20
257,-20
258,-40
259,-20
260,-60
261,-40
262,-60
263,0
264,-20
265,-60
266,-20
267,0
268,-40
269,-40
270,-20
271,-80
272,-20
273,-40
274,-40
275,-40
276,-60
277,-80
278,0
279,-60
280,-40
281,-40
282,-40
283,-60
284,0
285,-60
286,-80
287,38
288,-20
289,-20
290,-20
291,-20
292,-20
293,-40
294,-60
295,-80
296,-40
297,-60
298,-20
299,0
300,0
301,34
302,0
303,-60
304,-60
305,-20
306,-40
307,0
308,-20
309,-40
310,-40
311,0
312,-20
313,0
314,-60
315,-60
316,-20
317,-20
318,-40
319,0
320,-40
321,-40
322,-80
323,-40
324,-60
325,-20
326,-20
327,-20
328,-40
329,-20
330,-60
331,0
332,-60
333,-20
334,-20
335,-20
336,-20
337,-20
338,-60
339,-60
340,0
341,-40
342,-60
343,-20
344,-20
345,-40
346,-40
347,-80
348,-20
349,0
350,-20
351,-60
352,-20
353,0
354,-80
355,-60
356,0
357,-80
358,-20
359,68
360,-20
361,0
362,-60
363,0
364,0
365,-20
366,-20
367,-20
368,-20
369,-80
370,0
371,-40
372,0
373,-40
374,-40
375,-60
376,-60
377,82
378,-40
379,0
380,0
381,-40
382,-40
383,0
384,-40
385,0
386,0
387,-60
388,-20
389,-40
390,0
391,-60
392,-60
393,-40
394,-20
395,-20
396,-60
397,-60
398,-20
399,-40
400,-40
401,-40
402,-80
403,-20
404,-40
405,-60
406,-40
407,-60
408,-20
409,-20
410,-20
411,0
412,-20
413,-20
414,0
415,-40
416,-20
417,-40
418,0
419,-20
420,-60
421,-60
422,-40
423,-20
424,-20
425,-40
426,-40
427,0
