,score
661,-40
662,-20
663,-60
664,0
665,-20
666,-20
667,0
668,-40
669,68
670,0
671,-60
672,-60
673,0
674,-40
675,-40
676,0
677,-40
678,-20
679,-40
680,-20
681,-60
682,-60
683,-20
684,-20
685,-20
686,0
687,0
688,-20
689,-20
690,-60
691,-40
692,0
693,-100
694,-60
695,0
696,-60
697,-60
698,-20
699,-40
700,-40
701,-20
702,-20
703,-20
704,-40
705,-40
706,0
707,-60
708,0
709,-40
710,0
711,0
712,-40
713,-20
714,-40
715,-60
716,-20
717,-60
718,-20
719,-100
720,-60
721,-40
722,-20
723,-20
724,-80
725,-20
726,-60
727,-20
728,-40
729,-40
730,-20
731,-20
732,0
733,-40
734,-40
735,30
736,-40
737,-60
738,-100
739,-60
740,0
741,-20
742,36
743,-60
744,0
745,-20
746,0
747,-60
748,0
749,-20
750,-20
751,-80
752,-20
753,0
754,-80
755,-20
756,-80
757,38
758,-40
759,-40
760,0
761,0
762,0
763,-60
764,-40
765,-80
766,-20
767,-20
768,-80
769,-20
770,-40
771,-20
772,-60
773,72
774,0
775,-40
776,-20
777,-20
778,-80
779,0
780,-20
781,-80
782,-20
783,-20
784,-20
785,-20
786,-60
787,-20
788,-60
789,-20
790,-40
791,-40
792,0
793,-80
794,0
795,-20
796,-60
797,-40
798,-60
799,-40
800,-40
801,0
802,0
803,-40
804,-20
805,-60
806,-40
807,-40
808,-40
809,42
810,-60
811,64
812,-20
813,-60
814,-20
815,-20
816,0
817,-20
818,74
819,-20
820,-60
821,-20
822,-20
823,-60
824,-20
825,-60
826,-40
827,-40
828,-20
829,-20
830,-20
831,-20
832,0
833,-60
834,0
835,0
836,-60
837,88
838,0
839,-20
840,-20
841,-60
842,-20
843,-20
844,-20
845,-20
846,-20
847,-60
848,-20
849,-40
850,-20
851,-20
852,0
853,-40
854,34
855,0
856,-40
857,70
858,-40
859,-40
860,-20
861,-60
862,-40
863,-40
864,0
865,0
866,-60
867,-20
868,-40
869,0
870,-40
871,-20
872,0
873,0
874,-40
875,-40
876,-40
877,34
878,-20
879,-60
880,-20
881,-20
882,-40
883,-40
884,0
885,-80
886,0
887,-40
888,-60
889,-40
890,-60
891,-20
892,0
893,0
894,-60
895,-40
896,-60
897,-40
898,-20
899,-20
900,0
901,-20
902,-40
903,-40
904,0
905,0
906,-20
907,-40
908,0
909,-80
910,-60
911,-20
912,-60
913,-40
914,-60
915,-40
916,-40
917,-20
918,0
919,-80
920,-60
921,0
922,-80
923,-40
924,-20
925,-60
926,-40
927,0
928,-20
929,-40
930,-20
931,-40
932,-40
933,-40
934,0
935,-40
936,0
937,0
938,-20
939,0
940,-80
941,-20
942,-40
943,0
944,-60
945,46
946,-40
947,-60
948,-20
949,-60
950,-80
951,-40
952,-40
953,-20
954,-40
955,-20
956,-40
957,62
958,-20
959,0
960,0
961,0
962,-60
963,-60
964,0
965,-20
966,0
967,-60
968,-20
969,-80
970,-20
971,-40
972,-20
973,-20
974,72
975,-20
976,-20
977,-60
978,0
979,-100
980,-20
981,-40
982,0
983,-40
984,-40
985,-60
986,-60
987,-20
988,-20
989,0
990,-20
991,0
992,-40
993,-20
994,-20
995,-20
996,0
997,-20
998,-60
999,34
