,score
676,-40
677,-60
678,-20
679,20
680,-40
681,0
682,-40
683,-60
684,-20
685,0
686,-60
687,-20
688,-80
689,20
690,-20
691,-20
692,-20
693,-20
694,-20
695,-40
696,-60
697,-100
698,0
699,-40
700,-60
701,0
702,-40
703,-40
704,-60
705,-60
706,0
707,-40
708,-40
709,-20
710,-20
711,-40
712,-40
713,-40
714,-60
715,-20
716,0
717,-20
718,-80
719,-100
720,-40
721,0
722,-60
723,-40
724,-40
725,-40
726,-20
727,-40
728,-40
729,0
730,-40
731,-20
732,-40
733,-20
734,-60
735,-60
736,-60
737,-40
738,94
739,0
740,-20
741,0
742,-20
743,-20
744,-20
745,-40
746,-20
747,20
748,0
749,-60
750,-60
751,-20
752,-20
753,-20
754,-40
755,-40
756,-20
757,-60
758,-40
759,20
760,-40
761,40
762,-40
763,-40
764,-20
765,-40
766,0
767,-40
768,0
769,0
770,-40
771,-40
772,-40
773,-20
774,-20
775,-20
776,-20
777,40
778,20
779,0
780,0
781,-20
782,-40
783,40
784,0
785,0
786,-80
787,-40
788,-20
789,-40
790,-40
791,0
792,0
793,0
794,20
795,0
796,0
797,-20
798,-60
799,-40
800,-40
801,-20
802,-40
803,-40
804,20
805,20
806,-40
807,-60
808,-60
809,20
810,-80
811,-20
812,0
813,-60
814,40
815,-60
816,-80
817,40
818,0
819,-80
820,20
821,0
822,-20
823,-20
824,-20
825,20
826,-40
827,-20
828,-60
829,0
830,-40
831,20
832,-40
833,0
834,-60
835,20
836,-60
837,-40
838,-20
839,0
840,-40
841,40
842,-40
843,-40
844,-40
845,-20
846,20
847,20
848,-20
849,-80
850,-40
851,-40
852,20
853,-20
854,20
855,-40
856,-40
857,-60
858,-20
859,-60
860,-40
861,0
862,-80
863,-40
864,94
865,-20
866,-40
867,-40
868,-60
869,-20
870,-40
871,-40
872,20
873,20
874,0
875,-20
876,-60
877,-40
878,0
879,-40
880,-40
881,0
882,-40
883,-20
884,-40
885,-40
886,-40
887,-60
888,-20
889,-60
890,-20
891,-20
892,-40
893,-100
894,-40
895,-60
896,-20
897,-20
898,-20
899,20
900,-40
901,-80
902,-60
903,-40
904,-20
905,-20
906,-20
907,0
908,-40
909,0
910,0
911,-20
912,-40
913,-20
914,-20
915,40
916,-20
917,-40
918,0
919,-20
920,0
921,20
922,-20
923,20
924,-80
925,-80
926,0
927,-20
928,20
929,-20
930,0
931,-20
932,-40
933,20
934,0
935,-40
936,20
937,-80
938,-40
939,-80
940,0
941,-60
942,0
943,-40
944,-20
945,-40
946,-20
947,-20
948,-40
949,-20
950,40
951,-20
952,-20
953,0
954,-40
955,-40
956,0
957,-40
958,0
959,-40
960,-40
961,-40
962,-40
963,-40
964,-60
965,0
966,-60
967,20
968,-60
969,-20
970,0
971,-60
972,20
973,20
974,20
975,-60
976,-40
977,-80
978,-20
979,-20
980,0
981,-20
982,-20
983,20
984,-60
985,20
986,0
987,-20
988,0
989,-20
990,0
991,62
992,-40
993,-20
994,20
995,-80
996,-20
997,0
998,-40
999,-40
