,score
0,-60
1,-40
2,0
3,0
4,-60
5,-20
6,-40
7,-20
8,-80
9,-40
10,0
11,-40
12,0
13,-40
14,-80
15,-40
16,-20
17,-60
18,-80
19,-80
20,-20
21,-80
22,0
23,-40
24,-60
25,-100
26,-80
27,-40
28,-40
29,-60
30,-60
31,0
32,-40
33,-40
34,-60
35,-40
36,-100
37,0
38,-60
39,0
40,0
41,-20
42,-40
43,0
44,-20
45,-20
46,20
47,40
48,-80
49,-80
50,-60
51,-60
52,0
53,-20
54,20
55,20
56,-40
57,20
58,-60
59,-80
60,20
61,0
62,-60
63,-20
64,-80
65,-40
66,20
67,-100
68,-20
69,-40
70,-20
71,-40
72,-20
73,-40
74,-20
75,-40
76,-40
77,-60
78,20
79,-80
80,-40
81,-40
82,20
83,-80
84,-60
85,-20
86,-60
87,0
88,-40
89,20
90,-20
91,-40
92,-20
93,0
94,0
95,-60
96,0
97,-40
98,-40
99,-20
100,20
101,-20
102,20
103,-20
104,0
105,-20
106,0
107,0
108,0
109,0
110,-20
111,-40
112,-60
113,-40
114,0
115,0
116,-20
117,-60
118,-40
119,-20
120,-60
121,-40
122,-40
123,-40
124,-60
125,-40
126,-20
127,-80
128,-80
129,0
130,-40
131,0
132,20
133,-40
134,-40
135,20
136,20
137,20
138,0
139,-60
140,-40
141,-20
142,-60
143,0
144,-20
145,-20
146,-80
147,-40
148,-100
149,-20
150,-60
151,20
152,-60
153,-40
154,-40
155,0
156,20
157,-20
158,-20
159,0
160,-40
161,0
162,0
163,0
164,-40
165,-40
166,-20
167,-80
168,20
169,-40
170,40
171,-20
172,-80
173,-80
174,-40
175,-40
176,-20
177,-80
178,-60
179,-20
180,-80
181,-40
182,-20
183,-20
184,-40
185,-40
186,-40
187,-20
188,-40
189,-100
190,-40
191,0
192,-60
193,-20
194,-40
195,-40
196,-40
197,-20
198,-60
199,-20
200,0
201,-60
202,-20
203,0
204,-40
205,20
206,-40
207,-20
208,-60
209,-100
210,-80
211,20
212,40
213,-20
214,-80
215,-40
216,-80
217,-60
218,-80
219,20
220,-80
221,-20
222,0
223,-20
224,-40
225,-60
226,40
227,20
228,0
229,-40
230,20
231,-20
232,-40
233,-40
234,-20
235,-60
236,-80
237,-20
238,-20
239,0
240,-20
241,-20
242,0
243,-20
244,-20
245,0
246,0
247,-20
248,-60
249,-80
250,-20
251,-40
252,-60
253,20
254,-60
255,-20
256,0
257,-60
258,-40
259,-40
260,-40
261,-40
262,0
263,-20
264,0
265,-80
266,-40
267,-40
268,-20
269,-40
270,-20
271,-60
272,20
273,-60
274,-20
275,0
276,-20
277,-20
278,-20
279,-40
280,-60
281,-20
282,-20
283,-40
284,-20
285,-100
286,-60
287,-40
288,-60
289,-20
290,0
291,-20
292,-60
293,20
294,20
295,-20
296,-40
297,-80
298,-40
299,-60
300,20
301,0
302,20
303,-60
304,-20
305,0
306,-60
307,-20
308,-60
309,0
310,-40
311,60
312,-40
313,-60
314,-20
315,-40
316,-40
317,20
318,-20
319,0
320,40
321,-80
322,0
323,0
324,-60
325,-40
326,40
327,-20
328,-60
329,-100
330,-40
331,-40
332,-80
333,-60
334,-20
335,-20
336,-20
337,-60
338,-20
339,-60
340,-40
341,-20
342,-40
343,-80
344,0
345,-60
346,-80
347,-40
348,-20
349,20
350,0
351,-20
352,-40
353,0
354,-40
355,-20
356,-20
357,-20
358,-60
359,0
360,-20
361,20
362,-40
363,-40
364,-40
365,-60
366,-80
367,-40
368,-40
369,0
370,40
371,-80
372,-20
373,-80
374,-80
375,-60
376,0
377,-80
378,-80
379,-80
380,-20
381,0
382,-60
383,0
384,0
385,-60
386,-40
387,0
388,20
389,-60
390,-100
391,-40
392,-80
393,0
394,0
395,0
396,20
397,-40
398,-40
399,-20
400,-20
401,-20
402,0
403,20
404,-40
405,-60
406,-20
407,-20
408,0
409,-20
410,-80
411,0
412,0
413,-20
414,-20
415,-40
416,-60
417,-20
418,-80
419,-40
420,-20
421,0
422,-40
423,-60
424,-40
425,-40
426,-20
427,0
428,20
429,-40
430,-20
431,0
432,-20
433,-40
434,-20
435,-20
436,0
437,-20
438,-20
439,-80
440,-40
441,0
442,-60
443,-40
444,-40
445,-80
446,40
447,-60
448,-40
449,-20
450,0
451,-20
452,-80
453,0
454,-60
455,-20
456,-40
457,-40
458,-20
459,-40
460,20
461,-40
462,-40
463,0
464,20
465,-40
466,0
467,0
468,-20
469,-80
470,-60
471,-40
472,-40
473,20
474,-40
475,-60
476,0
477,-80
478,0
479,20
480,-40
481,-60
482,-60
483,-40
484,20
485,-20
486,0
487,-40
488,-80
489,-60
490,0
491,0
492,-20
493,20
494,-60
495,-40
496,-20
497,-20
498,20
499,-80
500,0
501,-40
502,0
503,-60
504,-20
505,0
506,-80
507,-60
508,0
509,-40
