,score
675,-100
676,-20
677,-20
678,-80
679,0
680,-40
681,-80
682,-80
683,0
684,-20
685,-40
686,0
687,-40
688,-20
689,-40
690,-40
691,-80
692,0
693,40
694,-20
695,-20
696,-20
697,-60
698,-60
699,0
700,-60
701,-60
702,-20
703,-40
704,-60
705,-20
706,-40
707,0
708,-40
709,40
710,20
711,-60
712,-20
713,-60
714,-20
715,-60
716,0
717,0
718,-20
719,-20
720,-60
721,0
722,-60
723,-80
724,-60
725,-20
726,-60
727,20
728,-20
729,-20
730,60
731,-20
732,0
733,-40
734,-40
735,-40
736,-20
737,-40
738,0
739,-60
740,-20
741,-60
742,20
743,20
744,-40
745,-20
746,0
747,20
748,0
749,-20
750,-20
751,-20
752,-20
753,-60
754,40
755,0
756,-60
757,-60
758,-40
759,-20
760,-40
761,40
762,-40
763,40
764,-40
765,80
766,0
767,20
768,20
769,-20
770,-20
771,-40
772,0
773,-20
774,-60
775,0
776,0
777,-40
778,0
779,-20
780,-60
781,-20
782,-40
783,20
784,-80
785,-60
786,0
787,-40
788,-20
789,-40
790,-20
791,-40
792,0
793,-20
794,0
795,-40
796,-20
797,20
798,-20
799,-80
800,-60
801,-40
802,0
803,-20
804,-20
805,-20
806,-80
807,-40
808,-20
809,-20
810,0
811,-20
812,-20
813,-40
814,-40
815,-80
816,-20
817,60
818,-20
819,-20
820,-60
821,-40
822,-40
823,-20
824,-60
825,-80
826,-100
827,-60
828,-20
829,-40
830,40
831,20
832,-60
833,-20
834,20
835,-40
836,0
837,-20
838,0
839,-40
840,-20
841,0
842,-40
843,20
844,0
845,-40
846,-40
847,-20
848,-60
849,0
850,-40
851,0
852,0
853,-40
854,20
855,-20
856,-100
857,20
858,-40
859,-60
860,100
861,0
862,-60
863,0
864,60
865,-20
866,-40
867,0
868,-40
869,-80
870,-60
871,-40
872,-20
873,60
874,-60
875,-60
876,20
877,-20
878,20
879,-60
880,-40
881,-20
882,-60
883,20
884,-100
885,-60
886,-100
887,-60
888,-40
889,-20
890,-20
891,-60
892,-40
