,score
669,0
670,-20
671,0
672,-60
673,-20
674,-40
675,-40
676,-20
677,0
678,0
679,-20
680,-20
681,-20
682,0
683,-20
684,-40
685,-40
686,-40
687,-20
688,20
689,-20
690,-40
691,40
692,-40
693,-20
694,-40
695,0
696,20
697,0
698,20
699,-20
700,-40
701,0
702,-60
703,-40
704,40
705,-20
706,-20
707,-60
708,-20
709,-40
710,-20
711,-20
712,0
713,-60
714,-60
715,-20
716,0
717,-40
718,20
719,0
720,-80
721,-60
722,-20
723,40
724,-60
725,0
726,-60
727,-20
728,-20
729,-20
730,-40
731,-40
732,0
733,0
734,0
735,-20
736,-20
737,0
738,0
739,-20
740,-40
741,-20
742,-20
743,-20
744,-60
745,-20
746,0
747,-60
748,0
749,-20
750,0
751,-20
752,0
753,-40
754,-40
755,-40
756,-20
757,-40
758,-20
759,-20
760,-40
761,20
762,0
763,-60
764,0
765,-40
766,20
767,-20
768,0
769,-20
770,-20
771,-80
772,-40
773,-20
774,0
775,-40
776,20
777,-60
778,-40
779,-40
780,0
781,-80
782,0
783,-60
784,0
785,0
786,0
787,-40
788,0
789,-60
790,-20
791,-80
792,-20
793,-40
794,-20
795,-20
796,-60
797,0
798,0
799,-40
800,-20
801,-40
802,-60
803,0
804,-40
805,-60
806,20
807,20
808,-40
809,0
810,-80
811,-20
812,-40
813,0
814,0
815,-20
816,-60
817,0
818,-20
819,0
820,-60
821,-80
822,-20
823,-20
824,20
825,0
826,-60
827,0
828,-20
829,20
830,-20
831,0
832,-20
833,-60
834,-80
835,0
836,-40
837,-40
838,-20
839,20
840,-60
841,-40
842,-20
843,20
844,-60
845,-60
846,-20
847,-40
848,0
849,0
850,0
851,-100
852,-60
853,-40
854,-60
855,-20
856,-20
857,0
858,-20
859,-20
860,-20
861,-40
862,-20
863,-60
864,0
865,-20
866,-20
867,-60
868,40
869,-20
870,-40
871,0
872,0
873,-20
874,20
875,-20
876,40
877,20
878,0
879,0
880,-60
881,-20
882,-60
883,-20
884,0
885,0
886,-40
887,0
888,-60
889,-40
890,-20
891,-20
892,-40
893,0
894,-40
895,-40
896,-20
897,-40
898,-40
899,20
900,-40
901,-20
902,0
903,-40
904,-20
905,-40
906,-40
907,-80
908,0
909,0
910,-40
911,-40
912,-60
913,-20
914,-60
915,-20
916,-60
917,0
918,-40
919,-20
920,-20
921,0
922,20
923,-20
924,-40
925,-40
926,-60
927,40
928,-40
929,0
930,0
931,40
932,-20
933,-60
934,-40
935,20
936,0
937,-40
938,-60
939,-40
940,20
941,80
942,-40
943,-40
944,40
945,-40
946,-20
947,-80
948,40
949,20
950,-40
951,0
952,0
953,0
954,0
955,0
956,-80
957,0
958,-40
959,-40
960,0
961,0
962,-20
963,-20
964,0
965,-20
966,20
967,-20
968,-20
969,-20
970,-20
971,-40
972,-40
973,-100
974,-20
975,-20
976,20
977,0
978,0
979,-20
980,-20
981,-60
982,-20
983,40
984,20
985,20
986,0
987,20
988,-20
989,-40
990,-20
991,-20
992,-40
993,-60
994,-60
995,20
996,0
997,-40
998,20
999,-80
