,score
655,-20
656,-20
657,0
658,-20
659,-80
660,-40
661,-20
662,-60
663,-40
664,-20
665,-60
666,-40
667,0
668,-20
669,-40
670,0
671,0
672,-40
673,-20
674,-80
675,-60
676,-40
677,0
678,-40
679,-20
680,-80
681,-60
682,-40
683,0
684,-40
685,-60
686,-60
687,-20
688,-20
689,0
690,-40
691,-80
692,-40
693,-80
694,-60
695,-40
696,-60
697,-20
698,-40
699,-40
700,-60
701,-20
702,-40
703,-60
704,0
705,-20
706,-40
707,30
708,-20
709,-40
710,-20
711,-40
712,-20
713,-40
714,-40
715,-40
716,0
717,-20
718,-40
719,-40
720,0
721,-60
722,60
723,-80
724,-20
725,-40
726,-40
727,0
728,-20
729,-60
730,-40
731,0
732,-40
733,-20
734,-20
735,-20
736,-40
737,-40
738,-20
739,0
740,0
741,-20
742,0
743,0
744,-20
745,-20
746,0
747,-40
748,-60
749,82
750,-60
751,-20
752,-20
753,-40
754,0
755,-40
756,-20
757,-20
758,-20
759,-80
760,-20
761,-20
762,-40
763,0
764,-20
765,-80
766,-20
767,-20
768,-80
769,-40
770,-40
771,-40
772,-60
773,0
774,-20
775,-20
776,-40
777,-40
778,-20
779,-60
780,-20
781,-20
782,-40
783,66
784,-40
785,-40
786,-60
787,0
788,-20
789,-40
790,0
791,-60
792,-40
793,-60
794,-40
795,-60
796,-20
797,-20
798,-20
799,-40
800,-60
801,-60
802,56
803,-40
804,-60
805,-80
806,-60
807,-20
808,-60
809,-100
810,-60
811,80
812,-40
813,-20
814,68
815,-80
816,0
817,70
818,-40
819,-60
820,-80
821,-20
822,0
823,-40
824,-40
825,-60
826,-40
827,-60
828,-20
829,-20
830,-20
831,0
832,-20
833,-80
834,-20
835,0
836,-40
837,-40
838,-60
839,-40
840,-80
841,-40
842,-40
843,-20
844,0
845,-40
846,-80
847,-20
848,-20
849,0
850,-20
851,-40
852,0
853,0
854,-20
855,-40
856,-20
857,-40
858,-40
859,-80
860,0
861,-20
862,-60
863,0
864,-40
865,-60
866,-40
867,-20
868,-40
869,0
870,-40
871,-40
872,-60
873,-40
874,-40
875,-60
876,0
877,-40
878,-40
879,-40
880,0
881,-60
882,-40
883,-40
884,-60
885,-40
886,-60
887,-20
888,-60
889,-40
890,-40
891,-60
892,0
893,-20
894,0
895,-60
896,-40
897,-20
898,-40
899,-20
900,-60
901,-40
902,-60
903,-20
904,-40
905,-40
906,-60
907,-40
908,0
909,-40
910,0
911,-60
912,-40
913,0
914,0
915,-20
916,-20
917,-20
918,-40
919,-20
920,-20
921,46
922,-40
923,-40
924,-20
925,-20
926,-80
927,-20
928,-20
929,-20
930,-20
931,-20
932,-60
933,-40
934,0
935,-40
936,-20
937,-20
938,-40
939,0
940,-20
941,-40
942,-80
943,32
944,-40
945,0
946,-100
947,0
948,-40
949,-20
950,-60
951,-40
952,-40
953,-20
954,-60
955,-40
956,-100
957,-20
958,-60
959,-100
960,-40
961,-60
962,-20
963,-40
964,0
965,-60
966,-20
967,-20
968,-60
969,-80
970,0
971,-60
972,0
973,-20
974,-60
975,-20
976,-20
977,-60
978,-40
979,-80
980,-40
981,-40
982,0
983,-40
984,-20
985,-40
986,-20
987,-40
988,0
989,-40
990,-60
991,0
992,-20
993,-20
994,-40
995,56
996,-40
997,-40
998,-40
999,-20
