,score
669,-60
670,-40
671,-60
672,40
673,-20
674,-80
675,-80
676,-60
677,-80
678,-20
679,-20
680,-100
681,20
682,-20
683,-60
684,-20
685,-60
686,-20
687,-20
688,-100
689,-40
690,-40
691,-20
692,-20
693,-60
694,-20
695,0
696,-40
697,-60
698,-100
699,-40
700,-40
701,-100
702,0
703,0
704,-100
705,-80
706,-20
707,-20
708,-20
709,0
710,-20
711,0
712,-60
713,-40
714,0
715,-60
716,-60
717,-80
718,-60
719,-20
720,-20
721,-20
722,-20
723,0
724,-20
725,20
726,-40
727,-80
728,20
729,-20
730,20
731,-60
732,-80
733,-20
734,-80
735,0
736,-40
737,0
738,-60
739,0
740,-40
741,-20
742,-20
743,0
744,-40
745,0
746,20
747,0
748,-20
749,-60
750,-40
751,60
752,-60
753,-40
754,-40
755,0
756,-60
757,-60
758,-60
759,-40
760,-20
761,-60
762,0
763,-100
764,-40
765,60
766,-80
767,-40
768,-40
769,-20
770,-20
771,-20
772,-60
773,-20
774,-60
775,-40
776,-20
777,0
778,0
779,-20
780,-80
781,40
782,0
783,-60
784,0
785,-20
786,-40
787,0
788,-40
789,-40
790,-60
791,-20
792,0
793,-20
794,-60
795,0
796,-20
797,-60
798,-80
799,-20
800,20
801,-20
802,-40
803,-60
804,-40
805,-20
806,-60
807,20
808,-40
809,0
810,-60
811,-60
812,-40
813,-80
814,0
815,-60
816,-60
817,40
818,-60
819,-20
820,-40
821,-60
822,-60
823,-60
824,-40
825,-40
826,-20
827,-60
828,-80
829,-40
830,-40
831,-60
832,-60
833,-80
834,-80
835,-60
836,-60
837,-60
838,0
839,-40
840,-40
841,-60
842,-60
843,40
844,-20
845,-20
846,-60
847,-80
848,-60
849,-20
850,-40
851,-80
852,-80
853,0
854,-40
855,-60
856,-20
857,0
858,-80
859,-100
860,-60
861,-100
862,-20
863,-20
864,-20
865,-80
866,0
867,0
868,-20
869,40
870,40
871,-20
872,-40
873,20
874,-40
875,0
876,-20
877,0
878,-20
879,0
880,-40
881,0
882,-60
883,-40
884,0
885,40
886,0
887,-20
888,-40
889,-20
890,-20
891,-60
892,-80
893,-20
894,-60
895,-20
896,-40
897,-40
898,-20
899,-20
900,-20
901,-40
902,40
903,-20
904,-20
905,-60
906,0
907,-20
908,-80
909,20
910,-60
911,-40
912,-40
913,0
914,20
915,-40
916,-60
917,-20
918,-60
919,-40
920,0
921,0
922,-100
923,-40
924,20
925,-20
926,0
927,0
928,-20
929,-20
930,-40
931,-60
932,-20
933,-80
934,0
935,-20
936,0
937,-60
938,-60
939,-60
940,-60
941,-40
942,40
943,20
944,-40
945,20
946,-20
947,-60
948,0
949,-60
950,-100
951,0
952,-40
953,-60
954,20
955,-20
956,-20
957,20
958,-20
959,-60
960,-20
961,-40
962,60
963,-20
964,0
965,40
966,0
967,-60
968,0
969,-20
970,-20
971,-20
972,-20
973,-60
974,-80
975,20
976,-60
977,-60
978,0
979,-60
980,-40
981,-40
982,0
983,-40
984,-60
985,-60
986,20
987,-40
988,-80
989,0
990,0
991,-20
992,-60
993,-40
994,60
995,80
996,-20
997,-20
998,-20
999,0
