,score
668,0
669,-40
670,-20
671,20
672,-40
673,-40
674,-40
675,-60
676,-80
677,-40
678,-40
679,-80
680,20
681,-80
682,0
683,-20
684,-20
685,-20
686,0
687,20
688,0
689,-20
690,-40
691,-80
692,0
693,-60
694,-20
695,-80
696,-60
697,-40
698,20
699,-20
700,-40
701,20
702,-20
703,-40
704,0
705,20
706,-40
707,-60
708,-80
709,0
710,-60
711,-40
712,0
713,0
714,0
715,-20
716,0
717,-20
718,-60
719,-100
720,-40
721,-40
722,-60
723,0
724,-40
725,-40
726,-20
727,0
728,-40
729,0
730,0
731,-40
732,-80
733,-20
734,-20
735,-60
736,-60
737,0
738,20
739,-80
740,-20
741,-60
742,0
743,-40
744,-40
745,-20
746,-60
747,-20
748,-20
749,-20
750,-40
751,-40
752,-60
753,-60
754,-100
755,-40
756,-40
757,0
758,-20
759,20
760,0
761,-40
762,-20
763,0
764,-20
765,-20
766,-40
767,-40
768,-60
769,-60
770,-80
771,-40
772,-40
773,20
774,-60
775,-20
776,-60
777,0
778,0
779,-80
780,-20
781,-60
782,-40
783,-20
784,0
785,-80
786,20
787,-40
788,20
789,-20
790,-20
791,-20
792,-40
793,-80
794,0
795,-80
796,-60
797,-60
798,-80
799,-20
800,-40
801,-80
802,-60
803,-20
804,-60
805,-60
806,-80
807,0
808,-80
809,-80
810,-60
811,20
812,-40
813,-40
814,-40
815,-40
816,-40
817,-60
818,-40
819,-40
820,-20
821,-100
822,0
823,-60
824,-40
825,-20
826,-40
827,-20
828,-60
829,0
830,-40
831,-20
832,-20
833,-40
834,-20
835,40
836,-20
837,-40
838,0
839,40
840,-60
841,-20
842,0
843,-20
844,-60
845,-20
846,-20
847,0
848,-80
849,0
850,0
851,-40
852,-40
853,-40
854,20
855,-40
856,-20
857,-40
858,-40
859,-40
860,-20
861,-80
862,-60
863,40
864,-20
865,-60
866,-40
867,20
868,-60
869,-40
870,0
871,0
872,-60
873,-20
874,0
875,0
876,0
877,-60
878,-60
879,-60
880,-40
881,-60
882,-40
883,-20
884,-80
885,-20
886,-60
887,-20
888,0
889,-60
890,-20
891,-40
892,20
893,-60
894,-80
895,-40
896,0
897,-20
898,0
899,-40
900,-60
901,-40
902,0
903,-20
904,-20
905,-40
906,-60
907,-40
908,-80
909,-60
910,-20
911,-60
912,0
913,-40
914,-40
915,-40
916,0
917,40
918,0
919,-80
920,0
921,-20
922,-80
923,-40
924,-40
925,-20
926,-60
927,-60
928,-60
929,-60
930,-20
931,20
932,-40
933,-40
934,-40
935,0
936,-100
937,-40
938,0
939,-60
940,40
941,-40
942,-60
943,-80
944,-60
945,-40
946,-20
947,20
948,-20
949,0
950,-60
951,-60
952,-40
953,0
954,-20
955,-40
956,-100
957,-20
958,-40
959,-60
960,-20
961,0
962,-40
963,-20
964,-40
965,-80
966,0
967,-40
968,20
969,0
970,-40
971,-20
972,-20
973,-20
974,-20
975,-80
976,0
977,0
978,-20
979,-40
980,0
981,-40
982,-20
983,-40
984,20
985,40
986,-40
987,20
988,-40
989,0
990,-40
991,-20
992,-40
993,-20
994,-80
995,-20
996,-40
997,-60
998,-20
999,0
