Episodes,Reward
0,-18.333333333333332
5000,-8.333333333333334
10000,8.333333333333334
135000,8.333333333333334
140000,21.666666666666668
150000,11.666666666666666
170000,25.0
235000,25.0
245000,21.666666666666668
270000,31.666666666666668
275000,28.333333333333332
345000,18.333333333333332
550000,11.666666666666666
700000,41.666666666666664
765000,18.333333333333332
955000,18.333333333333332
975000,31.666666666666668
1000000,11.666666666666666
1010000,38.333333333333336
1070000,35.0
1090000,11.666666666666666
1175000,25.0
1500000,11.666666666666666
1570000,18.333333333333332
1575000,41.666666666666664
1590000,25.0
1905000,39.0
2110000,11.666666666666666
2465000,15.0
2585000,21.666666666666668
2605000,11.666666666666666
2630000,21.666666666666668
2670000,28.333333333333332
2820000,21.666666666666668
2975000,25.0
3000004,-5.0
