Episodes,Reward
2055000,65.0
2060000,65.0
2065000,85.0
2070000,95.0
2075000,195.0
2080000,105.0
2085000,155.0
2090000,155.0
2095000,5.0
2100000,15.0
2105000,65.0
2110000,85.0
2115000,85.0
2120000,55.0
2125000,55.0
2130000,155.0
2135000,85.0
2140000,105.0
2145000,155.0
2150000,135.0
2155000,75.0
2160000,135.0
2165000,85.0
2170000,-5.0
2175000,75.0
2180000,105.0
2185000,125.0
2190000,85.0
2195000,55.0
2200000,45.0
2205000,125.0
2210000,135.0
2215000,165.0
2220000,35.0
2225000,75.0
2230000,25.0
2235000,65.0
2240000,85.0
2245000,115.0
2250000,115.0
2255000,115.0
2260000,55.0
2265000,105.0
2270000,45.0
2275000,115.0
2280000,105.0
2285000,145.0
2290000,65.0
2295000,55.0
2300000,145.0
2305000,85.0
2310000,5.0
2315000,25.0
2320000,-35.0
2325000,105.0
2330000,155.0
2335000,105.0
2340000,25.0
2345000,75.0
2350000,145.0
2355000,55.0
2360000,125.0
2365000,45.0
2370000,105.0
2375000,35.0
2380000,75.0
2385000,85.0
2390000,145.0
2395000,95.0
2400000,125.0
2405000,145.0
2410000,175.0
2415000,55.0
2420000,95.0
2425000,125.0
2430000,95.0
2435000,115.0
2440000,45.0
2445000,45.0
2450000,105.0
2455000,65.0
2460000,95.0
2465000,135.0
2470000,145.0
2475000,225.0
2480000,165.0
2485000,135.0
2490000,205.0
2495000,65.0
2500000,85.0
