Running on host: studgpu-node09.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/ppo_algorithm
Starting on: Mon Jun 24 14:49:41 CEST 2024
SLURM_JOB_ID: 22729
using cuda
episode: 11100 | avg score: -15.3 | learning_steps: 3745
episode: 11200 | avg score: -7.3 | learning_steps: 3773
episode: 11300 | avg score: -16.5 | learning_steps: 3804
episode: 11400 | avg score: -6.2 | learning_steps: 3833
episode: 11500 | avg score: -0.2 | learning_steps: 3861
episode: 11600 | avg score: -9.0 | learning_steps: 3890
episode: 11700 | avg score: -13.7 | learning_steps: 3921
episode: 11800 | avg score: -3.2 | learning_steps: 3950
episode: 11900 | avg score: -5.3 | learning_steps: 3978
episode: 12000 | avg score: -11.0 | learning_steps: 4008
episode: 12100 | avg score: -7.3 | learning_steps: 4037
episode: 12200 | avg score: -8.8 | learning_steps: 4067
episode: 12300 | avg score: -8.8 | learning_steps: 4096
episode: 12400 | avg score: -5.0 | learning_steps: 4125
episode: 12500 | avg score: -5.6 | learning_steps: 4154
episode: 12600 | avg score: -4.5 | learning_steps: 4183
episode: 12700 | avg score: -12.3 | learning_steps: 4213
episode: 12800 | avg score: -4.1 | learning_steps: 4242
episode: 12900 | avg score: -5.1 | learning_steps: 4271
episode: 13000 | avg score: -5.6 | learning_steps: 4299
episode: 13100 | avg score: -4.2 | learning_steps: 4328
episode: 13200 | avg score: -4.4 | learning_steps: 4358
episode: 13300 | avg score: -5.3 | learning_steps: 4387
episode: 13400 | avg score: 2.4 | learning_steps: 4414
episode: 13500 | avg score: -10.2 | learning_steps: 4444
episode: 13600 | avg score: -5.3 | learning_steps: 4472
episode: 13700 | avg score: -3.6 | learning_steps: 4501
episode: 13800 | avg score: -3.8 | learning_steps: 4529
episode: 13900 | avg score: -8.9 | learning_steps: 4560
episode: 14000 | avg score: -4.7 | learning_steps: 4588
episode: 14100 | avg score: -0.9 | learning_steps: 4617
episode: 14200 | avg score: -5.2 | learning_steps: 4647
episode: 14300 | avg score: 1.9 | learning_steps: 4674
episode: 14400 | avg score: -9.9 | learning_steps: 4703
episode: 14500 | avg score: -14.3 | learning_steps: 4735
episode: 14600 | avg score: 0.6 | learning_steps: 4763
episode: 14700 | avg score: -8.1 | learning_steps: 4792
episode: 14800 | avg score: 0.6 | learning_steps: 4820
episode: 14900 | avg score: -16.1 | learning_steps: 4851
episode: 15000 | avg score: -2.1 | learning_steps: 4879
episode: 15100 | avg score: -3.0 | learning_steps: 4908
episode: 15200 | avg score: -4.5 | learning_steps: 4936
