Running on host: studgpu-node01.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/ppo_algorithm
Starting on: Mon Jun 24 23:06:32 CEST 2024
SLURM_JOB_ID: 22800
using cuda
episode: 0 | avg score: -20.0 | learning_steps: 0
episode: 100 | avg score: -36.8 | learning_steps: 39
episode: 200 | avg score: -36.0 | learning_steps: 78
episode: 300 | avg score: -39.0 | learning_steps: 117
episode: 400 | avg score: -37.6 | learning_steps: 156
episode: 500 | avg score: -35.8 | learning_steps: 195
episode: 600 | avg score: -33.8 | learning_steps: 234
episode: 700 | avg score: -31.6 | learning_steps: 273
episode: 800 | avg score: -29.0 | learning_steps: 312
episode: 900 | avg score: -32.6 | learning_steps: 351
episode: 1000 | avg score: -31.6 | learning_steps: 390
episode: 1100 | avg score: -28.5 | learning_steps: 429
episode: 1200 | avg score: -41.8 | learning_steps: 468
episode: 1300 | avg score: -32.8 | learning_steps: 507
episode: 1400 | avg score: -33.7 | learning_steps: 546
episode: 1500 | avg score: -34.2 | learning_steps: 585
episode: 1600 | avg score: -35.4 | learning_steps: 624
episode: 1700 | avg score: -33.0 | learning_steps: 663
episode: 1800 | avg score: -32.0 | learning_steps: 703
episode: 1900 | avg score: -40.4 | learning_steps: 742
episode: 2000 | avg score: -34.8 | learning_steps: 781
episode: 2100 | avg score: -36.0 | learning_steps: 820
episode: 2200 | avg score: -39.2 | learning_steps: 859
episode: 2300 | avg score: -37.0 | learning_steps: 898
episode: 2400 | avg score: -31.6 | learning_steps: 937
episode: 2500 | avg score: -38.5 | learning_steps: 976
episode: 2600 | avg score: -27.1 | learning_steps: 1015
episode: 2700 | avg score: -31.0 | learning_steps: 1054
episode: 2800 | avg score: -26.4 | learning_steps: 1093
episode: 2900 | avg score: -31.2 | learning_steps: 1132
episode: 3000 | avg score: -27.6 | learning_steps: 1171
episode: 3100 | avg score: -31.9 | learning_steps: 1210
episode: 3200 | avg score: -33.2 | learning_steps: 1249
episode: 3300 | avg score: -34.6 | learning_steps: 1288
episode: 3400 | avg score: -44.0 | learning_steps: 1327
episode: 3500 | avg score: -40.0 | learning_steps: 1366
episode: 3600 | avg score: -41.4 | learning_steps: 1405
episode: 3700 | avg score: -34.8 | learning_steps: 1444
episode: 3800 | avg score: -33.6 | learning_steps: 1483
episode: 3900 | avg score: -40.0 | learning_steps: 1522
episode: 4000 | avg score: -27.9 | learning_steps: 1561
episode: 4100 | avg score: -28.8 | learning_steps: 1600
episode: 4200 | avg score: -34.0 | learning_steps: 1639
episode: 4300 | avg score: -31.4 | learning_steps: 1678
episode: 4400 | avg score: -33.4 | learning_steps: 1717
episode: 4500 | avg score: -33.4 | learning_steps: 1756
episode: 4600 | avg score: -24.0 | learning_steps: 1795
episode: 4700 | avg score: -25.2 | learning_steps: 1834
episode: 4800 | avg score: -38.2 | learning_steps: 1874
episode: 4900 | avg score: -29.9 | learning_steps: 1912
episode: 5000 | avg score: -31.8 | learning_steps: 1951
episode: 5100 | avg score: -35.0 | learning_steps: 1991
episode: 5200 | avg score: -32.4 | learning_steps: 2029
episode: 5300 | avg score: -34.6 | learning_steps: 2068
episode: 5400 | avg score: -38.0 | learning_steps: 2107
episode: 5500 | avg score: -33.4 | learning_steps: 2147
episode: 5600 | avg score: -25.6 | learning_steps: 2186
episode: 5700 | avg score: -36.3 | learning_steps: 2225
episode: 5800 | avg score: -35.4 | learning_steps: 2264
episode: 5900 | avg score: -33.8 | learning_steps: 2303
episode: 6000 | avg score: -27.0 | learning_steps: 2342
episode: 6100 | avg score: -27.5 | learning_steps: 2381
episode: 6200 | avg score: -25.0 | learning_steps: 2420
episode: 6300 | avg score: -30.2 | learning_steps: 2459
episode: 6400 | avg score: -28.6 | learning_steps: 2498
episode: 6500 | avg score: -29.4 | learning_steps: 2537
episode: 6600 | avg score: -31.8 | learning_steps: 2576
episode: 6700 | avg score: -29.6 | learning_steps: 2615
episode: 6800 | avg score: -29.6 | learning_steps: 2654
episode: 6900 | avg score: -31.7 | learning_steps: 2693
episode: 7000 | avg score: -27.6 | learning_steps: 2732
episode: 7100 | avg score: -25.9 | learning_steps: 2770
episode: 7200 | avg score: -25.1 | learning_steps: 2809
