Running on host: studgpu-node01.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/ppo_algorithm
Starting on: Mon Jun 24 19:34:08 CEST 2024
SLURM_JOB_ID: 22781
using cuda
episode: 0 | avg score: -40.0 | learning_steps: 0
episode: 100 | avg score: -38.2 | learning_steps: 37
episode: 200 | avg score: -39.4 | learning_steps: 74
episode: 300 | avg score: -36.9 | learning_steps: 111
episode: 400 | avg score: -43.6 | learning_steps: 149
episode: 500 | avg score: -43.5 | learning_steps: 187
episode: 600 | avg score: -45.1 | learning_steps: 225
episode: 700 | avg score: -44.0 | learning_steps: 264
episode: 800 | avg score: -35.7 | learning_steps: 300
episode: 900 | avg score: -35.8 | learning_steps: 336
episode: 1000 | avg score: -37.7 | learning_steps: 373
episode: 1100 | avg score: -35.3 | learning_steps: 409
episode: 1200 | avg score: -30.6 | learning_steps: 445
episode: 1300 | avg score: -29.0 | learning_steps: 480
episode: 1400 | avg score: -32.7 | learning_steps: 515
episode: 1500 | avg score: -25.9 | learning_steps: 550
episode: 1600 | avg score: -24.9 | learning_steps: 584
episode: 1700 | avg score: -20.3 | learning_steps: 617
episode: 1800 | avg score: -22.9 | learning_steps: 651
episode: 1900 | avg score: -22.4 | learning_steps: 684
episode: 2000 | avg score: -20.9 | learning_steps: 717
episode: 2100 | avg score: -16.2 | learning_steps: 749
episode: 2200 | avg score: -14.7 | learning_steps: 781
episode: 2300 | avg score: -17.2 | learning_steps: 813
episode: 2400 | avg score: -13.7 | learning_steps: 844
episode: 2500 | avg score: -19.8 | learning_steps: 877
episode: 2600 | avg score: -20.5 | learning_steps: 911
episode: 2700 | avg score: -10.6 | learning_steps: 941
episode: 2800 | avg score: -9.5 | learning_steps: 970
episode: 2900 | avg score: -22.0 | learning_steps: 1003
episode: 3000 | avg score: -22.0 | learning_steps: 1036
episode: 3100 | avg score: -14.6 | learning_steps: 1067
episode: 3200 | avg score: -19.6 | learning_steps: 1099
episode: 3300 | avg score: -11.1 | learning_steps: 1129
episode: 3400 | avg score: -16.1 | learning_steps: 1161
episode: 3500 | avg score: -14.6 | learning_steps: 1193
episode: 3600 | avg score: -17.7 | learning_steps: 1225
episode: 3700 | avg score: -9.2 | learning_steps: 1256
episode: 3800 | avg score: -6.0 | learning_steps: 1285
episode: 3900 | avg score: -0.9 | learning_steps: 1313
episode: 4000 | avg score: 2.6 | learning_steps: 1340
episode: 4100 | avg score: 14.8 | learning_steps: 1364
episode: 4200 | avg score: 3.6 | learning_steps: 1390
episode: 4300 | avg score: 9.7 | learning_steps: 1415
episode: 4400 | avg score: 8.4 | learning_steps: 1441
episode: 4500 | avg score: 9.8 | learning_steps: 1467
episode: 4600 | avg score: 16.4 | learning_steps: 1491
episode: 4700 | avg score: 11.2 | learning_steps: 1515
episode: 4800 | avg score: 24.7 | learning_steps: 1537
episode: 4900 | avg score: 22.4 | learning_steps: 1559
episode: 5000 | avg score: 29.5 | learning_steps: 1578
episode: 5100 | avg score: 25.7 | learning_steps: 1599
episode: 5200 | avg score: 32.9 | learning_steps: 1617
episode: 5300 | avg score: 29.5 | learning_steps: 1638
episode: 5400 | avg score: 33.1 | learning_steps: 1656
episode: 5500 | avg score: 25.5 | learning_steps: 1677
episode: 5600 | avg score: 29.4 | learning_steps: 1696
episode: 5700 | avg score: 29.5 | learning_steps: 1716
episode: 5800 | avg score: 34.0 | learning_steps: 1734
episode: 5900 | avg score: 38.7 | learning_steps: 1751
episode: 6000 | avg score: 31.8 | learning_steps: 1770
episode: 6100 | avg score: 34.7 | learning_steps: 1788
episode: 6200 | avg score: 32.9 | learning_steps: 1807
episode: 6300 | avg score: 28.6 | learning_steps: 1827
episode: 6400 | avg score: 36.1 | learning_steps: 1844
episode: 6500 | avg score: 26.9 | learning_steps: 1866
episode: 6600 | avg score: 40.2 | learning_steps: 1883
episode: 6700 | avg score: 37.8 | learning_steps: 1902
episode: 6800 | avg score: 41.0 | learning_steps: 1919
episode: 6900 | avg score: 38.2 | learning_steps: 1937
episode: 7000 | avg score: 39.6 | learning_steps: 1955
episode: 7100 | avg score: 32.5 | learning_steps: 1974
episode: 7200 | avg score: 33.3 | learning_steps: 1992
episode: 7300 | avg score: 32.7 | learning_steps: 2011
episode: 7400 | avg score: 41.3 | learning_steps: 2028
episode: 7500 | avg score: 29.9 | learning_steps: 2047
episode: 7600 | avg score: 32.8 | learning_steps: 2066
episode: 7700 | avg score: 32.4 | learning_steps: 2086
episode: 7800 | avg score: 39.6 | learning_steps: 2102
episode: 7900 | avg score: 33.9 | learning_steps: 2121
episode: 8000 | avg score: 40.5 | learning_steps: 2138
episode: 8100 | avg score: 27.9 | learning_steps: 2158
episode: 8200 | avg score: 33.3 | learning_steps: 2177
episode: 8300 | avg score: 39.2 | learning_steps: 2195
episode: 8400 | avg score: 36.2 | learning_steps: 2213
episode: 8500 | avg score: 41.8 | learning_steps: 2230
episode: 8600 | avg score: 30.9 | learning_steps: 2250
