Running on host: studgpu-node01.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/ppo_algorithm
Starting on: Mon Jun 24 11:55:06 CEST 2024
SLURM_JOB_ID: 22698
using cuda
episode: 0 | avg score: 27.0 | learning_steps: 0
episode: 100 | avg score: 0.8 | learning_steps: 38
episode: 200 | avg score: 6.0 | learning_steps: 75
episode: 300 | avg score: 5.8 | learning_steps: 111
episode: 400 | avg score: 5.0 | learning_steps: 148
episode: 500 | avg score: 6.4 | learning_steps: 184
episode: 600 | avg score: 9.0 | learning_steps: 220
episode: 700 | avg score: 10.1 | learning_steps: 256
episode: 800 | avg score: 10.8 | learning_steps: 291
episode: 900 | avg score: 8.8 | learning_steps: 326
episode: 1000 | avg score: 9.5 | learning_steps: 362
episode: 1100 | avg score: 11.7 | learning_steps: 396
episode: 1200 | avg score: 6.7 | learning_steps: 432
episode: 1300 | avg score: 11.3 | learning_steps: 466
episode: 1400 | avg score: 10.4 | learning_steps: 500
episode: 1500 | avg score: 11.0 | learning_steps: 534
episode: 1600 | avg score: 14.6 | learning_steps: 567
episode: 1700 | avg score: 8.7 | learning_steps: 602
episode: 1800 | avg score: 10.8 | learning_steps: 637
episode: 1900 | avg score: 18.4 | learning_steps: 668
episode: 2000 | avg score: 15.3 | learning_steps: 701
episode: 2100 | avg score: 9.7 | learning_steps: 733
episode: 2200 | avg score: 13.1 | learning_steps: 767
episode: 2300 | avg score: 14.5 | learning_steps: 800
episode: 2400 | avg score: 11.2 | learning_steps: 833
episode: 2500 | avg score: 14.7 | learning_steps: 866
episode: 2600 | avg score: 17.8 | learning_steps: 897
episode: 2700 | avg score: 16.3 | learning_steps: 929
episode: 2800 | avg score: 13.2 | learning_steps: 961
episode: 2900 | avg score: 10.2 | learning_steps: 994
episode: 3000 | avg score: 10.9 | learning_steps: 1028
episode: 3100 | avg score: 11.6 | learning_steps: 1060
episode: 3200 | avg score: 14.8 | learning_steps: 1090
episode: 3300 | avg score: 11.1 | learning_steps: 1124
episode: 3400 | avg score: 11.8 | learning_steps: 1156
episode: 3500 | avg score: 10.3 | learning_steps: 1190
episode: 3600 | avg score: 14.2 | learning_steps: 1222
episode: 3700 | avg score: 10.8 | learning_steps: 1254
episode: 3800 | avg score: 12.9 | learning_steps: 1286
episode: 3900 | avg score: 20.9 | learning_steps: 1315
episode: 4000 | avg score: 15.0 | learning_steps: 1346
episode: 4100 | avg score: 12.0 | learning_steps: 1378
episode: 4200 | avg score: 13.1 | learning_steps: 1411
episode: 4300 | avg score: 14.4 | learning_steps: 1444
episode: 4400 | avg score: 13.8 | learning_steps: 1476
episode: 4500 | avg score: 18.6 | learning_steps: 1506
episode: 4600 | avg score: 11.4 | learning_steps: 1539
episode: 4700 | avg score: 16.5 | learning_steps: 1570
episode: 4800 | avg score: 19.0 | learning_steps: 1601
episode: 4900 | avg score: 16.7 | learning_steps: 1632
episode: 5000 | avg score: 21.4 | learning_steps: 1661
episode: 5100 | avg score: 16.1 | learning_steps: 1691
episode: 5200 | avg score: 16.0 | learning_steps: 1723
episode: 5300 | avg score: 17.4 | learning_steps: 1753
episode: 5400 | avg score: 12.8 | learning_steps: 1784
episode: 5500 | avg score: 15.1 | learning_steps: 1816
episode: 5600 | avg score: 15.4 | learning_steps: 1847
episode: 5700 | avg score: 14.8 | learning_steps: 1878
episode: 5800 | avg score: 19.7 | learning_steps: 1908
episode: 5900 | avg score: 12.4 | learning_steps: 1940
episode: 6000 | avg score: 8.7 | learning_steps: 1973
episode: 6100 | avg score: 14.7 | learning_steps: 2005
episode: 6200 | avg score: 10.8 | learning_steps: 2037
episode: 6300 | avg score: 15.3 | learning_steps: 2067
episode: 6400 | avg score: 12.1 | learning_steps: 2098
