,score
676,-80
677,0
678,-20
679,-40
680,-100
681,0
682,-60
683,0
684,-40
685,0
686,-40
687,-100
688,0
689,-40
690,0
691,-20
692,-20
693,-40
694,-40
695,0
696,-20
697,-40
698,-20
699,-40
700,-20
701,-60
702,0
703,-60
704,-40
705,-20
706,-20
707,0
708,0
709,0
710,-20
711,20
712,-40
713,-40
714,0
715,-20
716,-40
717,-40
718,-40
719,-40
720,0
721,-40
722,-20
723,-40
724,20
725,0
726,20
727,-20
728,-40
729,-40
730,-40
731,-40
732,0
733,-20
734,-20
735,0
736,0
737,-60
738,-40
739,-40
740,-20
741,0
742,-40
743,-40
744,0
745,82
746,-40
747,-20
748,-100
749,-40
750,0
751,-20
752,-60
753,-20
754,-60
755,-40
756,-40
757,-40
758,0
759,40
760,-40
761,-20
762,20
763,-20
764,-40
765,-40
766,20
767,20
768,-20
769,-20
770,-20
771,-60
772,-40
773,-40
774,0
775,-20
776,-60
777,0
778,0
779,-60
780,-40
781,-40
782,-40
783,-40
784,-60
785,-20
786,-20
787,-60
788,0
789,-40
790,40
791,0
792,-20
793,0
794,-20
795,-80
796,0
797,0
798,0
799,-40
800,-20
801,0
802,-20
803,-20
804,-40
805,-20
806,-20
807,-40
808,-40
809,-40
810,40
811,-20
812,20
813,-20
814,-20
815,-20
816,0
817,-40
818,-20
819,-60
820,20
821,-80
822,-40
823,-60
824,-20
825,-40
826,20
827,0
828,20
829,20
830,-20
831,0
832,-20
833,0
834,0
835,20
836,-80
837,-20
838,0
839,20
840,-40
841,-60
842,-20
843,0
844,-20
845,20
846,-60
847,-40
848,-20
849,-60
850,-20
851,-40
852,0
853,-20
854,-40
855,-60
856,-60
857,-40
858,-60
859,-60
860,-80
861,0
862,-20
863,-60
864,-60
865,0
866,-80
867,-20
868,-20
869,20
870,-20
871,-20
872,-40
873,-40
874,-80
875,-20
876,20
877,-40
878,20
879,0
880,40
881,-60
882,-60
883,-20
884,0
885,-60
886,0
887,-20
888,-40
