,score
674,0
675,0
676,30
677,88
678,-20
679,-20
680,-20
681,36
682,0
683,0
684,72
685,-20
686,0
687,34
688,28
689,0
690,98
691,92
692,0
693,-40
694,-20
695,70
696,68
697,0
698,0
699,-60
700,-20
701,0
702,-40
703,0
704,-20
705,-60
706,0
707,26
708,-40
709,-20
710,78
711,-20
712,-20
713,-40
714,-40
715,70
716,-20
717,-20
718,0
719,-20
720,-40
721,-20
722,78
723,0
724,0
725,-40
726,-20
727,0
728,0
729,-20
730,0
731,-60
732,-40
733,-20
734,-40
735,0
736,58
737,0
738,-40
739,-20
740,0
741,-20
742,-60
743,86
744,-20
745,78
746,26
747,64
748,0
749,-40
750,64
751,22
752,-60
753,80
754,0
755,0
756,0
757,46
758,0
759,0
760,-60
761,76
762,90
763,0
764,-60
765,-20
766,48
767,0
768,20
769,86
770,-20
771,58
772,66
773,20
774,84
775,-60
776,66
777,62
778,0
779,40
780,24
781,88
782,82
783,0
784,-40
785,64
786,0
787,0
788,92
789,-20
790,-40
791,94
792,0
793,0
794,78
795,100
796,-20
797,42
798,0
799,0
800,0
801,-80
802,-20
803,46
804,-20
805,78
806,0
807,80
808,0
809,-20
810,76
811,0
812,0
813,50
814,72
815,0
816,86
817,30
818,28
819,70
820,0
821,-80
822,-20
823,-60
824,28
825,46
826,82
827,0
828,62
829,96
830,86
831,70
832,-100
833,20
834,58
835,60
836,56
837,48
838,48
839,70
840,-20
841,-20
842,22
843,74
844,0
845,-20
846,82
847,96
848,68
849,-80
850,40
851,78
852,70
853,94
854,-20
855,80
856,30
857,-80
858,22
859,86
860,64
861,58
862,90
863,54
864,86
865,64
866,0
867,-60
868,20
869,76
870,66
871,46
872,72
873,52
874,86
875,72
876,36
877,-60
878,0
879,70
880,-60
881,36
882,0
883,56
884,76
885,44
886,60
887,46
888,54
889,76
890,-80
891,64
892,80
893,30
894,50
895,48
896,88
897,98
898,34
899,28
900,-40
901,78
902,48
903,48
904,66
905,70
906,24
907,76
908,-40
909,90
910,88
911,-40
912,0
913,-20
914,0
915,84
916,-20
917,56
918,-60
919,56
920,70
921,56
922,56
923,68
924,28
925,-20
926,32
927,58
928,92
929,32
930,58
931,0
932,52
933,-20
934,0
935,0
936,-60
937,0
938,0
939,-20
940,40
941,0
942,-20
943,82
944,96
945,98
946,94
947,86
948,0
949,48
950,70
951,-80
952,66
953,100
954,74
955,80
956,48
957,94
958,96
959,74
960,80
961,52
962,92
963,90
964,92
965,90
966,96
967,54
968,-20
969,-80
970,94
971,0
972,66
973,-20
974,68
975,44
976,80
977,-20
978,22
979,70
980,-20
981,58
982,74
983,24
984,46
985,94
986,-100
987,84
988,100
989,48
990,54
991,56
992,88
993,0
994,96
995,52
996,80
997,0
998,32
999,-20
