Episodes,Reward
0,-42.31023732128987
5000,-21.59453408394732
10000,-18.83789612309454
15000,-24.948476217952958
20000,-16.701556126563883
25000,-22.566444550420357
30000,-21.403289350788157
35000,-18.624101329098163
40000,-18.36989332839176
45000,-16.299411870401894
50000,-20.595467178804196
55000,-22.36455655451338
60000,-24.13085336796666
65000,-15.7523186135134
70000,-18.365110838797975
75000,-13.920591798108118
80000,-21.095161219124858
85000,-13.242282091227468
90000,-23.09558889129725
95000,-16.384150527769727
100000,-18.285517600105297
105000,-24.995125658432116
110000,-15.055691710190365
115000,-19.803288803073055
120000,-19.473557481304052
125000,-16.58811951215628
130000,-19.34839140550235
135000,-23.263978862417176
140000,-17.412230768966193
145000,-15.582815260906893
150000,-18.99479492234406
155000,-17.53282125933852
160000,-18.021127535213264
165000,-17.30890264618279
170000,-13.210994103330997
175000,-15.715682115833365
180000,-17.295064427247397
185000,-18.106581418470224
190000,-17.156181912222902
195000,-15.444280641436874
200000,-20.27099935138074
205000,-18.670533421534635
210000,-22.76838483353876
215000,-16.793655923264538
220000,-20.428595252080683
225000,-16.579079346219093
230000,-15.933793089516499
235000,-13.049001544791375
240000,-17.66632877171128
245000,-24.141123040845684
250000,-21.50183114720019
255000,-13.661300767246637
260000,-25.19491550633403
265000,-14.88727337524304
270000,-14.739278301385172
275000,-13.150057212290564
280000,-14.05681074936598
285000,-16.380559480028374
290000,-19.9653306920234
295000,-15.681821439241554
300000,-16.538566063174112
305000,-11.893521429310375
310000,-16.63373513381164
315000,-13.989337921002251
320000,-12.609711445881642
325000,-14.92970060491902
330000,-13.237539179227369
335000,-15.770757453569928
340000,-21.435455031608587
345000,-17.778929221393973
350000,-14.86614999888821
355000,-16.808799111253766
360000,-14.099196465010401
365000,-12.253541861664816
370000,-11.19448701737979
375000,-11.711776125876357
380000,-14.270514440962032
385000,-12.001586994566585
390000,-13.928982284577174
395000,-17.785298718489823
400000,-17.438065338647995
405000,-9.601608862367478
410000,-12.464311647303838
415000,-14.316267034959644
420000,-16.666871599421814
425000,-14.55314302615683
430000,-19.709935877180794
435000,-11.010518008727571
440000,-17.498614959981605
445000,-12.116485063111824
450000,-14.903196267358275
455000,-14.172764030513827
460000,-10.989594255572735
465000,-11.179596590495914
470000,-12.473842019548043
475000,-12.684847375898997
480000,-11.931125994397433
485000,-13.862051535867863
490000,-13.481226876268556
495000,-14.309177149895172
500000,-18.16050471310135
505000,-9.770074625356068
510000,-11.730726267007261
515000,-13.95528347766291
520000,-13.889928575385442
525000,-12.657928011174873
530000,-15.219634327401977
535000,-15.382237123602488
540000,-14.942513452299437
545000,-11.976939204430487
550000,-11.226031818175004
555000,-15.445532436888827
560000,-12.80585987334768
565000,-11.758087849600019
570000,-16.01426970907874
575000,-16.13368250258041
580000,-12.438225253877405
585000,-16.194042620851956
590000,-8.20707221056679
595000,-15.043434618754118
600000,-11.163226753568386
605000,-12.805048169265843
610000,-10.44861190144582
615000,-11.877767598546697
620000,-17.1042426942436
625000,-13.407555482674026
630000,-12.887714779092164
635000,-13.578575742495083
640000,-13.304651050402194
645000,-13.27747088630642
650000,-15.631346286613343
655000,-12.733695397405226
660000,-12.03603788228015
665000,-15.291319080256601
670000,-19.88000233309805
675000,-12.082947027678296
680000,-18.6817177166534
685000,-14.800982762526615
690000,-16.934277111356405
695000,-9.013418730892983
700000,-13.458138487985293
705000,-13.975380356214687
710000,-10.931336033683316
715000,-10.9705720334662
720000,-14.132931315967893
725000,-11.750753977293444
730000,-9.897771641896597
735000,-11.593236743805775
740000,-8.871860854653384
745000,-11.803419437242388
750000,-9.763758167718363
755000,-14.392407425199663
760000,-15.237228503542953
765000,-7.564276218589474
770000,-16.93483209783923
775000,-11.329253572494805
780000,-11.014391550324818
785000,-13.505322136671692
790000,-13.144805168879694
795000,-15.95323683399353
800000,-12.164174059533224
805000,-14.649240159395381
810000,-11.710173394148752
815000,-10.530455980950086
820000,-13.118184807937425
825000,-10.47169808464759
830000,-13.76008631966341
835000,-9.47950563622136
840000,-9.896384855943587
845000,-7.439899894413031
850000,-11.821868020758798
855000,-10.450776053072886
860000,-10.07616392328155
865000,-12.01644107179922
870000,-12.033982813762634
875000,-13.00915258462768
880000,-9.755588700798107
885000,-9.431204317438722
890000,-15.90451782821627
895000,-8.53461539152978
900000,-14.943042889618196
905000,-13.45947629211742
910000,-12.362654415020385
915000,-14.224074281306628
920000,-8.434356784885205
925000,-18.20378948340299
930000,-10.06891677526105
935000,-9.865558287314867
940000,-9.491710789042193
945000,-10.481430088683126
950000,-8.517828584199883
955000,-12.907133079323017
960000,-10.366119899009641
965000,-10.090680127765209
970000,-9.057658008521264
