,score
646,0
647,-120
648,-90
649,-90
650,-60
651,-60
652,-60
653,-120
654,-90
655,-60
656,-60
657,-150
658,-120
659,-60
660,-90
661,-90
662,-60
663,-60
664,-120
665,-150
666,0
667,-120
668,-120
669,-30
670,-120
671,-120
672,-90
673,-90
674,-60
675,-90
676,-120
677,-60
678,-120
679,-60
680,-90
681,-90
682,-120
683,-150
684,-60
685,-150
686,-30
687,-60
688,-90
689,-90
690,-30
691,-90
692,-150
693,-90
694,-90
695,-60
696,-60
697,-60
698,-90
699,-90
700,0
701,-120
702,-90
703,-150
704,-90
705,-30
706,-120
707,-120
708,-120
709,-90
710,-60
711,-90
712,-90
713,-120
714,-90
715,0
716,-90
717,-90
718,-60
719,-150
720,-90
721,60
722,-90
723,-90
724,-60
725,-60
726,-120
727,-60
728,-150
729,-120
730,-90
731,-120
732,-30
733,-90
734,-120
735,-30
736,-120
737,-120
738,-60
739,-150
740,-90
741,-90
742,-60
743,-60
744,-60
745,54
746,-90
747,-30
748,-90
749,-90
750,-30
751,-120
752,-60
753,0
754,-90
755,-30
756,-30
757,-60
758,-90
759,-90
760,-30
761,-120
762,-60
763,-90
764,-60
765,-60
766,0
767,-120
768,-60
769,-120
770,-60
771,-120
772,-90
773,-60
774,-60
775,-60
776,-90
777,-90
778,-60
779,-150
780,-90
781,-120
782,-90
783,-60
784,-90
785,-120
786,-60
787,-120
788,0
789,-30
790,-30
791,-90
792,-120
793,-90
794,-30
795,0
796,-120
797,-60
798,-90
799,-30
800,-30
801,-90
802,-30
803,-90
804,-60
805,-90
806,-60
807,-90
808,-90
809,-60
810,-90
811,-30
812,-60
813,-90
814,-60
815,-90
816,-150
817,-60
818,-90
819,-120
820,-60
821,-120
822,-30
823,-60
824,-120
825,-60
826,-60
827,-90
828,-120
829,-120
830,-30
831,-60
832,-90
833,-90
834,-30
835,-30
836,-60
837,-90
838,-90
839,-90
840,-90
841,0
842,-30
843,-60
844,-60
845,-30
846,-150
847,-60
848,-60
849,-60
850,-120
851,-60
852,-60
853,-90
854,-90
855,-60
856,-90
857,-90
858,-60
859,-90
860,0
861,-60
862,-60
863,-60
864,-30
865,0
866,-120
867,-60
868,-60
869,-90
870,-90
871,0
872,-60
873,-120
874,-90
875,-90
876,-120
877,-90
878,-120
879,0
880,-60
881,-90
882,-30
883,-90
884,-90
885,-90
886,-30
887,-90
888,-60
889,-60
890,-90
891,-90
892,-90
893,-120
894,0
895,-90
896,-60
897,-60
898,-90
899,-60
900,-30
901,-60
902,-120
903,-150
904,-90
905,-120
906,-60
907,-90
908,-120
909,-120
910,-30
911,-30
912,-90
913,-120
914,-90
915,0
916,-30
917,-90
918,-30
919,-90
920,-30
921,-60
922,-90
923,-30
924,-120
925,-60
926,-30
927,-60
928,-90
929,-60
930,-60
931,-30
932,-90
933,-30
934,-60
935,-120
936,-90
937,-90
938,-120
939,-120
940,-30
941,-30
942,-90
943,-60
944,-90
945,-90
946,-90
947,-30
948,-90
949,-30
950,-60
951,-60
