,score
668,-40
669,-20
670,-20
671,-80
672,-60
673,-40
674,-80
675,-60
676,-60
677,-60
678,0
679,0
680,-20
681,-80
682,-20
683,-20
684,-20
685,-20
686,-80
687,-40
688,20
689,-20
690,-20
691,0
692,0
693,0
694,-20
695,20
696,-80
697,-20
698,-40
699,-40
700,20
701,-80
702,-80
703,-20
704,0
705,-20
706,-20
707,-60
708,-40
709,-60
710,0
711,0
712,20
713,0
714,40
715,0
716,-40
717,0
718,0
719,60
720,-20
721,-80
722,0
723,-40
724,0
725,-40
726,-60
727,-20
728,0
729,-40
730,-20
731,-60
732,-40
733,-60
734,40
735,-60
736,0
737,-20
738,-40
739,-20
740,-20
741,-20
742,-60
743,-60
744,0
745,-60
746,-40
747,-20
748,-40
749,0
750,-60
751,-60
752,-40
753,-40
754,-20
755,-20
756,-40
757,20
758,-40
759,-20
760,-60
761,0
762,-80
763,0
764,-80
765,-40
766,0
767,0
768,20
769,0
770,-80
771,-40
772,0
773,-60
774,-60
775,20
776,-20
777,0
778,-40
779,-20
780,20
781,20
782,-40
783,-20
784,0
785,-40
786,-40
787,0
788,-20
789,-40
790,-40
791,-20
792,40
793,-60
794,-80
795,-60
796,0
797,-20
798,-40
799,40
800,-40
801,-20
802,0
803,-60
804,40
805,-60
806,0
807,0
808,-40
809,-40
810,-40
811,-20
812,-60
813,-80
814,20
815,-60
816,-40
817,-20
818,0
819,20
820,-60
821,20
822,-20
823,0
824,-60
825,0
826,-100
827,-20
828,-60
829,40
830,20
831,-20
832,-60
833,-40
834,0
835,-60
836,-60
837,-40
838,-60
839,0
840,20
841,-40
842,-40
843,-20
844,0
845,20
846,-60
847,-40
848,-40
849,-20
850,-40
851,0
852,-60
853,0
854,-20
855,20
856,-20
857,-40
858,60
859,40
860,20
861,-60
862,40
863,-40
864,-40
865,-20
866,-100
867,0
868,-60
869,0
870,40
871,-20
872,-20
873,20
874,40
875,20
876,-20
877,-20
878,-40
879,-20
880,-20
881,-80
882,-40
883,-40
884,-40
885,-80
886,-80
887,0
888,20
889,-60
890,0
891,-40
892,-20
893,-100
894,-20
895,20
896,-80
897,-40
898,-40
899,20
900,40
901,20
902,-40
903,-20
904,0
905,-60
906,-20
907,-20
908,-40
909,-60
910,-40
911,-20
912,-20
913,-80
914,-20
915,-60
916,0
917,-20
918,-40
919,-20
920,20
921,20
922,-20
923,-60
924,-80
925,-40
926,-20
927,-60
928,-40
929,0
930,0
931,-40
932,-60
933,-40
934,-60
935,-40
936,40
937,-20
938,-20
939,20
940,60
941,-60
942,-20
943,-20
944,0
945,-20
946,-20
947,-20
948,-20
949,-40
950,-60
951,-40
952,-100
953,0
954,0
955,0
956,-20
957,0
958,20
959,-40
960,0
961,0
962,-40
963,-80
964,20
965,0
966,-40
967,0
968,-20
969,-40
970,0
971,-40
972,40
973,-60
974,0
975,20
976,-80
977,-60
978,60
979,-40
980,0
981,0
982,-20
983,-20
984,-20
985,-60
986,-60
987,-40
988,20
989,40
990,-20
991,-20
992,-80
993,-20
994,0
995,-40
996,0
997,0
998,-60
999,-20
