,score
670,-80
671,-80
672,-60
673,0
674,-20
675,0
676,-60
677,-40
678,-40
679,0
680,-20
681,-20
682,-60
683,-40
684,-40
685,-80
686,-40
687,-20
688,0
689,-60
690,-20
691,0
692,-60
693,-60
694,0
695,-60
696,20
697,-40
698,-40
699,-60
700,-20
701,-60
702,0
703,-60
704,0
705,-60
706,-60
707,-80
708,-60
709,-20
710,-60
711,-20
712,-40
713,-80
714,-40
715,-40
716,-40
717,-40
718,-20
719,20
720,-20
721,-40
722,-20
723,-20
724,-40
725,20
726,-40
727,-40
728,0
729,-20
730,-40
731,-60
732,-60
733,0
734,-80
735,-40
736,0
737,40
738,-60
739,20
740,-60
741,0
742,0
743,-60
744,-40
745,-40
746,-40
747,-60
748,-20
749,-80
750,-20
751,-60
752,-80
753,-80
754,0
755,-20
756,-40
757,0
758,-40
759,-40
760,0
761,0
762,-60
763,-40
764,-40
765,-40
766,-60
767,-40
768,0
769,-20
770,-40
771,-20
772,-20
773,-20
774,0
775,-60
776,-40
777,-40
778,-40
779,-20
780,0
781,-40
782,-40
783,20
784,20
785,-40
786,-20
787,-40
788,-20
789,-40
790,-40
791,-60
792,-40
793,-60
794,-60
795,-60
796,-40
797,-20
798,-20
799,-20
800,-100
801,-40
802,-60
803,-20
804,-40
805,-40
806,-80
807,-80
808,0
809,-80
810,0
811,-20
812,-20
813,20
814,-20
815,-60
816,-40
817,0
818,-40
819,20
820,20
821,0
822,-20
823,20
824,20
825,-20
826,-60
827,-60
828,0
829,-60
830,-80
831,-40
832,-20
833,-40
834,-60
835,20
836,0
837,0
838,0
839,-20
840,-20
841,-20
842,-20
843,20
844,-20
845,0
846,-20
847,-40
848,20
849,-60
850,0
851,0
852,0
853,-40
854,-80
855,0
856,-60
857,-20
858,0
859,0
860,-40
861,20
862,-60
863,-40
864,-20
865,-40
866,0
867,-60
868,-60
869,20
870,0
871,-60
872,0
873,-80
874,0
875,0
876,-40
877,40
878,-80
879,0
880,-40
881,86
882,-20
883,-40
884,-20
885,0
886,-60
887,0
888,40
889,-60
890,0
891,-40
892,-40
893,-60
894,0
895,-80
896,-60
897,-20
898,-20
899,20
900,-20
901,-20
902,0
903,-60
904,-20
905,0
906,0
907,-20
908,-60
909,0
910,-40
911,-20
912,-20
913,-80
914,20
915,-40
916,-60
917,-60
918,-40
919,-20
920,-20
921,0
922,-60
923,-20
924,0
925,20
926,-40
927,-20
928,0
929,0
930,-60
931,-20
932,20
933,-20
934,-40
935,-40
936,-40
937,96
938,-20
939,-20
940,-20
941,-40
942,-20
