Running on host: studgpu-node01.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/catmouse_experiments
Starting on: Thu Jun 27 16:14:28 CEST 2024
SLURM_JOB_ID: 23191
using cuda
episode: 0 | avg score: 0.0 | learning_steps: 0
episode: 11100 | avg score: -46.4 | learning_steps: 4306
episode: 11200 | avg score: -43.5 | learning_steps: 4345
episode: 11300 | avg score: -43.4 | learning_steps: 4383
episode: 11400 | avg score: -47.4 | learning_steps: 4422
episode: 11500 | avg score: -44.2 | learning_steps: 4461
episode: 11600 | avg score: -42.8 | learning_steps: 4500
episode: 11700 | avg score: -49.1 | learning_steps: 4539
episode: 11800 | avg score: -44.3 | learning_steps: 4577
episode: 11900 | avg score: -44.2 | learning_steps: 4616
episode: 12000 | avg score: -45.6 | learning_steps: 4655
episode: 12100 | avg score: -42.6 | learning_steps: 4694
episode: 12200 | avg score: -45.8 | learning_steps: 4733
episode: 12300 | avg score: -46.6 | learning_steps: 4772
episode: 12400 | avg score: -43.6 | learning_steps: 4810
episode: 12500 | avg score: -43.1 | learning_steps: 4849
episode: 12600 | avg score: -45.5 | learning_steps: 4888
episode: 12700 | avg score: -44.2 | learning_steps: 4927
episode: 12800 | avg score: -43.3 | learning_steps: 4966
episode: 12900 | avg score: -47.6 | learning_steps: 5004
episode: 13000 | avg score: -46.9 | learning_steps: 5043
episode: 13100 | avg score: -45.5 | learning_steps: 5082
episode: 13200 | avg score: -45.8 | learning_steps: 5121
episode: 13300 | avg score: -46.0 | learning_steps: 5159
episode: 13400 | avg score: -47.0 | learning_steps: 5198
episode: 13500 | avg score: -47.2 | learning_steps: 5237
episode: 13600 | avg score: -41.2 | learning_steps: 5276
episode: 13700 | avg score: -46.8 | learning_steps: 5315
episode: 13800 | avg score: -48.1 | learning_steps: 5354
episode: 13900 | avg score: -45.6 | learning_steps: 5393
episode: 14000 | avg score: -43.1 | learning_steps: 5432
episode: 14100 | avg score: -44.1 | learning_steps: 5470
episode: 14200 | avg score: -47.6 | learning_steps: 5509
episode: 14300 | avg score: -44.0 | learning_steps: 5548
episode: 14400 | avg score: -43.5 | learning_steps: 5587
episode: 14500 | avg score: -42.4 | learning_steps: 5626
episode: 14600 | avg score: -44.0 | learning_steps: 5664
episode: 14700 | avg score: -45.1 | learning_steps: 5703
episode: 14800 | avg score: -43.9 | learning_steps: 5742
episode: 14900 | avg score: -46.8 | learning_steps: 5781
episode: 15000 | avg score: -46.5 | learning_steps: 5819
episode: 15100 | avg score: -43.6 | learning_steps: 5858
episode: 15200 | avg score: -46.0 | learning_steps: 5897
episode: 15300 | avg score: -44.0 | learning_steps: 5935
episode: 15400 | avg score: -44.7 | learning_steps: 5974
episode: 15500 | avg score: -45.3 | learning_steps: 6013
episode: 15600 | avg score: -43.9 | learning_steps: 6052
episode: 15700 | avg score: -48.2 | learning_steps: 6091
episode: 15800 | avg score: -43.9 | learning_steps: 6130
episode: 15900 | avg score: -44.2 | learning_steps: 6169
episode: 16000 | avg score: -48.6 | learning_steps: 6208
episode: 16100 | avg score: -45.5 | learning_steps: 6246
episode: 16200 | avg score: -47.4 | learning_steps: 6285
episode: 16300 | avg score: -42.5 | learning_steps: 6323
episode: 16400 | avg score: -45.1 | learning_steps: 6362
episode: 16500 | avg score: -45.0 | learning_steps: 6401
episode: 16600 | avg score: -45.9 | learning_steps: 6440
episode: 16700 | avg score: -42.8 | learning_steps: 6479
episode: 16800 | avg score: -47.3 | learning_steps: 6518
episode: 16900 | avg score: -45.1 | learning_steps: 6557
episode: 17000 | avg score: -44.0 | learning_steps: 6596
episode: 17100 | avg score: -46.1 | learning_steps: 6635
episode: 17200 | avg score: -44.4 | learning_steps: 6673
episode: 17300 | avg score: -45.4 | learning_steps: 6712
episode: 17400 | avg score: -47.0 | learning_steps: 6751
episode: 17500 | avg score: -45.2 | learning_steps: 6790
episode: 17600 | avg score: -47.2 | learning_steps: 6829
episode: 17700 | avg score: -46.3 | learning_steps: 6867
episode: 17800 | avg score: -44.4 | learning_steps: 6906
episode: 17900 | avg score: -46.9 | learning_steps: 6945
episode: 18000 | avg score: -41.9 | learning_steps: 6983
episode: 18100 | avg score: -44.6 | learning_steps: 7022
episode: 18200 | avg score: -43.9 | learning_steps: 7060
episode: 18300 | avg score: -46.5 | learning_steps: 7099
episode: 18400 | avg score: -46.2 | learning_steps: 7138
episode: 18500 | avg score: -45.7 | learning_steps: 7177
episode: 18600 | avg score: -44.9 | learning_steps: 7216
episode: 18700 | avg score: -47.0 | learning_steps: 7254
episode: 18800 | avg score: -46.4 | learning_steps: 7293
episode: 18900 | avg score: -39.7 | learning_steps: 7332
episode: 19000 | avg score: -43.2 | learning_steps: 7371
