Running on host: studgpu-node09.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/catmouse_experiments
Starting on: Tue Jun 25 16:33:15 CEST 2024
SLURM_JOB_ID: 22912
using cuda
episode: 11400 | avg score: -4.9 | learning_steps: 245
episode: 11500 | avg score: -4.0 | learning_steps: 247
episode: 11600 | avg score: -5.8 | learning_steps: 250
episode: 11700 | avg score: -5.3 | learning_steps: 252
episode: 11800 | avg score: -4.4 | learning_steps: 254
episode: 11900 | avg score: -5.0 | learning_steps: 256
episode: 12000 | avg score: -4.9 | learning_steps: 258
episode: 12100 | avg score: -5.0 | learning_steps: 260
episode: 12200 | avg score: -4.0 | learning_steps: 262
episode: 12300 | avg score: -4.7 | learning_steps: 264
episode: 12400 | avg score: -5.0 | learning_steps: 267
episode: 12500 | avg score: -5.5 | learning_steps: 269
episode: 12600 | avg score: -5.5 | learning_steps: 271
episode: 12700 | avg score: -4.6 | learning_steps: 273
episode: 12800 | avg score: -4.5 | learning_steps: 276
episode: 12900 | avg score: -4.7 | learning_steps: 278
episode: 13000 | avg score: -4.8 | learning_steps: 280
episode: 13100 | avg score: -3.9 | learning_steps: 282
episode: 13200 | avg score: -4.2 | learning_steps: 284
episode: 13300 | avg score: -5.2 | learning_steps: 286
episode: 13400 | avg score: -4.8 | learning_steps: 288
episode: 13500 | avg score: -5.0 | learning_steps: 291
episode: 13600 | avg score: -5.0 | learning_steps: 293
episode: 13700 | avg score: -5.1 | learning_steps: 295
episode: 13800 | avg score: -3.8 | learning_steps: 297
episode: 13900 | avg score: -4.8 | learning_steps: 299
episode: 14000 | avg score: -4.8 | learning_steps: 301
episode: 14100 | avg score: -5.1 | learning_steps: 303
episode: 14200 | avg score: -5.1 | learning_steps: 306
episode: 14300 | avg score: -4.6 | learning_steps: 308
episode: 14400 | avg score: -4.7 | learning_steps: 310
episode: 14500 | avg score: -5.4 | learning_steps: 312
episode: 14600 | avg score: -5.0 | learning_steps: 314
episode: 14700 | avg score: -4.5 | learning_steps: 316
episode: 14800 | avg score: -4.6 | learning_steps: 318
episode: 14900 | avg score: -4.9 | learning_steps: 320
episode: 15000 | avg score: -5.2 | learning_steps: 323
episode: 15100 | avg score: -4.9 | learning_steps: 325
episode: 15200 | avg score: -4.6 | learning_steps: 327
episode: 15300 | avg score: -5.5 | learning_steps: 329
episode: 15400 | avg score: -4.4 | learning_steps: 331
episode: 15500 | avg score: -5.3 | learning_steps: 333
episode: 15600 | avg score: -4.9 | learning_steps: 336
