Running on host: studgpu-node09.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/catmouse_experiments
Starting on: Tue Jun 25 16:51:04 CEST 2024
SLURM_JOB_ID: 22925
using cuda
episode: 11300 | avg score: 108.5 | learning_steps: 1346
episode: 11400 | avg score: 110.7 | learning_steps: 1356
episode: 11500 | avg score: 114.9 | learning_steps: 1364
episode: 11600 | avg score: 111.3 | learning_steps: 1373
episode: 11700 | avg score: 124.1 | learning_steps: 1382
episode: 11800 | avg score: 117.9 | learning_steps: 1390
episode: 11900 | avg score: 108.9 | learning_steps: 1399
episode: 12000 | avg score: 110.3 | learning_steps: 1409
episode: 12100 | avg score: 111.8 | learning_steps: 1418
episode: 12200 | avg score: 111.1 | learning_steps: 1429
episode: 12300 | avg score: 110.6 | learning_steps: 1440
episode: 12400 | avg score: 112.8 | learning_steps: 1449
episode: 12500 | avg score: 114.4 | learning_steps: 1459
episode: 12600 | avg score: 116.6 | learning_steps: 1468
episode: 12700 | avg score: 112.0 | learning_steps: 1476
episode: 12800 | avg score: 112.4 | learning_steps: 1486
episode: 12900 | avg score: 112.4 | learning_steps: 1495
episode: 13000 | avg score: 112.7 | learning_steps: 1503
episode: 13100 | avg score: 112.1 | learning_steps: 1512
episode: 13200 | avg score: 108.8 | learning_steps: 1521
episode: 13300 | avg score: 112.0 | learning_steps: 1531
episode: 13400 | avg score: 106.9 | learning_steps: 1540
episode: 13500 | avg score: 113.4 | learning_steps: 1548
episode: 13600 | avg score: 118.3 | learning_steps: 1557
episode: 13700 | avg score: 103.8 | learning_steps: 1567
episode: 13800 | avg score: 106.8 | learning_steps: 1577
episode: 13900 | avg score: 107.7 | learning_steps: 1587
episode: 14000 | avg score: 112.4 | learning_steps: 1596
episode: 14100 | avg score: 109.5 | learning_steps: 1606
episode: 14200 | avg score: 114.0 | learning_steps: 1616
episode: 14300 | avg score: 114.9 | learning_steps: 1626
episode: 14400 | avg score: 112.3 | learning_steps: 1638
episode: 14500 | avg score: 113.2 | learning_steps: 1649
episode: 14600 | avg score: 114.0 | learning_steps: 1658
episode: 14700 | avg score: 111.6 | learning_steps: 1669
episode: 14800 | avg score: 111.3 | learning_steps: 1681
episode: 14900 | avg score: 110.6 | learning_steps: 1691
episode: 15000 | avg score: 105.2 | learning_steps: 1702
episode: 15100 | avg score: 112.0 | learning_steps: 1712
episode: 15200 | avg score: 108.6 | learning_steps: 1723
episode: 15300 | avg score: 113.8 | learning_steps: 1734
episode: 15400 | avg score: 120.5 | learning_steps: 1743
episode: 15500 | avg score: 118.8 | learning_steps: 1754
episode: 15600 | avg score: 107.3 | learning_steps: 1764
episode: 15700 | avg score: 114.8 | learning_steps: 1775
episode: 15800 | avg score: 119.4 | learning_steps: 1785
episode: 15900 | avg score: 115.7 | learning_steps: 1795
episode: 16000 | avg score: 113.5 | learning_steps: 1805
episode: 16100 | avg score: 110.5 | learning_steps: 1815
episode: 16200 | avg score: 118.6 | learning_steps: 1826
episode: 16300 | avg score: 115.7 | learning_steps: 1835
episode: 16400 | avg score: 110.6 | learning_steps: 1846
episode: 16500 | avg score: 107.8 | learning_steps: 1857
episode: 16600 | avg score: 110.3 | learning_steps: 1867
episode: 16700 | avg score: 112.0 | learning_steps: 1878
episode: 16800 | avg score: 108.2 | learning_steps: 1888
episode: 16900 | avg score: 112.2 | learning_steps: 1898
episode: 17000 | avg score: 118.7 | learning_steps: 1908
episode: 17100 | avg score: 115.1 | learning_steps: 1920
episode: 17200 | avg score: 102.8 | learning_steps: 1930
episode: 17300 | avg score: 117.8 | learning_steps: 1941
episode: 17400 | avg score: 110.9 | learning_steps: 1951
episode: 17500 | avg score: 118.2 | learning_steps: 1960
episode: 17600 | avg score: 115.4 | learning_steps: 1970
episode: 17700 | avg score: 107.7 | learning_steps: 1979
episode: 17800 | avg score: 115.5 | learning_steps: 1989
episode: 17900 | avg score: 111.3 | learning_steps: 1998
episode: 18000 | avg score: 98.2 | learning_steps: 2007
episode: 18100 | avg score: 113.9 | learning_steps: 2016
episode: 18200 | avg score: 102.6 | learning_steps: 2028
episode: 18300 | avg score: 110.6 | learning_steps: 2039
episode: 18400 | avg score: 108.4 | learning_steps: 2051
episode: 18500 | avg score: 117.2 | learning_steps: 2060
episode: 18600 | avg score: 113.0 | learning_steps: 2071
episode: 18700 | avg score: 117.6 | learning_steps: 2080
episode: 18800 | avg score: 107.9 | learning_steps: 2091
episode: 18900 | avg score: 116.0 | learning_steps: 2100
