Running on host: studgpu-node01.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/catmouse_experiments
Starting on: Wed Jun 26 12:55:41 CEST 2024
SLURM_JOB_ID: 23051
using cuda
episode: 0 | avg score: -12.0 | learning_steps: 0
episode: 11200 | avg score: 184.7 | learning_steps: 1911
episode: 11300 | avg score: 157.9 | learning_steps: 1926
episode: 11400 | avg score: 157.5 | learning_steps: 1940
episode: 11500 | avg score: 171.2 | learning_steps: 1954
episode: 11600 | avg score: 174.4 | learning_steps: 1968
episode: 11700 | avg score: 177.0 | learning_steps: 1981
episode: 11800 | avg score: 171.3 | learning_steps: 1994
episode: 11900 | avg score: 167.6 | learning_steps: 2009
episode: 12000 | avg score: 172.5 | learning_steps: 2023
episode: 12100 | avg score: 163.9 | learning_steps: 2039
episode: 12200 | avg score: 165.6 | learning_steps: 2053
episode: 12300 | avg score: 171.1 | learning_steps: 2067
episode: 12400 | avg score: 178.8 | learning_steps: 2082
episode: 12500 | avg score: 159.2 | learning_steps: 2096
episode: 12600 | avg score: 180.6 | learning_steps: 2110
episode: 12700 | avg score: 189.3 | learning_steps: 2124
episode: 12800 | avg score: 178.2 | learning_steps: 2139
episode: 12900 | avg score: 174.7 | learning_steps: 2152
episode: 13000 | avg score: 178.9 | learning_steps: 2166
episode: 13100 | avg score: 176.0 | learning_steps: 2180
episode: 13200 | avg score: 180.2 | learning_steps: 2193
episode: 13300 | avg score: 162.9 | learning_steps: 2207
episode: 13400 | avg score: 168.7 | learning_steps: 2221
episode: 13500 | avg score: 163.1 | learning_steps: 2237
episode: 13600 | avg score: 173.9 | learning_steps: 2250
episode: 13700 | avg score: 173.0 | learning_steps: 2264
episode: 13800 | avg score: 179.2 | learning_steps: 2277
episode: 13900 | avg score: 181.8 | learning_steps: 2291
episode: 14000 | avg score: 169.4 | learning_steps: 2305
episode: 14100 | avg score: 179.2 | learning_steps: 2319
episode: 14200 | avg score: 163.1 | learning_steps: 2332
episode: 14300 | avg score: 175.8 | learning_steps: 2344
episode: 14400 | avg score: 165.1 | learning_steps: 2357
episode: 14500 | avg score: 180.4 | learning_steps: 2371
episode: 14600 | avg score: 174.4 | learning_steps: 2384
episode: 14700 | avg score: 174.8 | learning_steps: 2398
episode: 14800 | avg score: 179.0 | learning_steps: 2411
episode: 14900 | avg score: 165.8 | learning_steps: 2424
episode: 15000 | avg score: 179.4 | learning_steps: 2438
episode: 15100 | avg score: 180.1 | learning_steps: 2451
episode: 15200 | avg score: 172.4 | learning_steps: 2464
episode: 15300 | avg score: 179.7 | learning_steps: 2478
episode: 15400 | avg score: 172.8 | learning_steps: 2492
episode: 15500 | avg score: 180.8 | learning_steps: 2505
episode: 15600 | avg score: 174.3 | learning_steps: 2518
episode: 15700 | avg score: 187.2 | learning_steps: 2531
episode: 15800 | avg score: 160.2 | learning_steps: 2545
episode: 15900 | avg score: 170.1 | learning_steps: 2558
episode: 16000 | avg score: 170.0 | learning_steps: 2572
episode: 16100 | avg score: 170.7 | learning_steps: 2586
episode: 16200 | avg score: 180.2 | learning_steps: 2599
episode: 16300 | avg score: 160.9 | learning_steps: 2613
episode: 16400 | avg score: 183.8 | learning_steps: 2627
episode: 16500 | avg score: 177.5 | learning_steps: 2641
episode: 16600 | avg score: 176.0 | learning_steps: 2654
episode: 16700 | avg score: 174.1 | learning_steps: 2669
episode: 16800 | avg score: 173.5 | learning_steps: 2682
episode: 16900 | avg score: 153.8 | learning_steps: 2696
episode: 17000 | avg score: 180.1 | learning_steps: 2709
episode: 17100 | avg score: 176.6 | learning_steps: 2723
episode: 17200 | avg score: 178.4 | learning_steps: 2738
episode: 17300 | avg score: 181.0 | learning_steps: 2752
episode: 17400 | avg score: 174.6 | learning_steps: 2765
episode: 17500 | avg score: 168.9 | learning_steps: 2780
episode: 17600 | avg score: 165.7 | learning_steps: 2796
episode: 17700 | avg score: 176.1 | learning_steps: 2811
episode: 17800 | avg score: 161.9 | learning_steps: 2826
episode: 17900 | avg score: 173.1 | learning_steps: 2839
episode: 18000 | avg score: 165.3 | learning_steps: 2853
episode: 18100 | avg score: 172.2 | learning_steps: 2866
episode: 18200 | avg score: 173.6 | learning_steps: 2880
episode: 18300 | avg score: 187.5 | learning_steps: 2895
episode: 18400 | avg score: 188.0 | learning_steps: 2911
episode: 18500 | avg score: 178.0 | learning_steps: 2928
episode: 18600 | avg score: 188.8 | learning_steps: 2941
episode: 18700 | avg score: 181.8 | learning_steps: 2954
episode: 18800 | avg score: 177.7 | learning_steps: 2968
episode: 18900 | avg score: 174.0 | learning_steps: 2982
episode: 19000 | avg score: 168.1 | learning_steps: 2999
episode: 19100 | avg score: 175.4 | learning_steps: 3013
episode: 19200 | avg score: 186.6 | learning_steps: 3027
episode: 19300 | avg score: 178.2 | learning_steps: 3041
episode: 19400 | avg score: 171.5 | learning_steps: 3055
episode: 19500 | avg score: 152.3 | learning_steps: 3069
episode: 19600 | avg score: 185.4 | learning_steps: 3083
episode: 19700 | avg score: 178.3 | learning_steps: 3097
episode: 19800 | avg score: 173.7 | learning_steps: 3111
episode: 19900 | avg score: 169.5 | learning_steps: 3124
finished at: Wed Jun 26 13:20:41 CEST 2024
