Running on host: studgpu-node01.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/catmouse_experiments
Starting on: Thu Jun 27 11:57:35 CEST 2024
SLURM_JOB_ID: 23159
using cuda
episode: 0 | avg score: -100.0 | learning_steps: 0
episode: 100 | avg score: -66.9 | learning_steps: 38
episode: 200 | avg score: -48.5 | learning_steps: 75
episode: 300 | avg score: -45.8 | learning_steps: 111
episode: 400 | avg score: -14.2 | learning_steps: 148
episode: 500 | avg score: 20.3 | learning_steps: 185
episode: 600 | avg score: 90.6 | learning_steps: 221
episode: 700 | avg score: 137.0 | learning_steps: 254
episode: 800 | avg score: 163.6 | learning_steps: 284
episode: 900 | avg score: 181.5 | learning_steps: 315
episode: 1000 | avg score: 162.0 | learning_steps: 346
episode: 1100 | avg score: 157.3 | learning_steps: 378
episode: 1200 | avg score: 174.0 | learning_steps: 408
episode: 1300 | avg score: 189.4 | learning_steps: 435
episode: 1400 | avg score: 174.6 | learning_steps: 464
episode: 1500 | avg score: 182.3 | learning_steps: 495
episode: 1600 | avg score: 186.6 | learning_steps: 523
episode: 1700 | avg score: 210.4 | learning_steps: 552
episode: 1800 | avg score: 196.5 | learning_steps: 582
episode: 1900 | avg score: 162.6 | learning_steps: 614
episode: 2000 | avg score: 188.3 | learning_steps: 644
episode: 2100 | avg score: 184.8 | learning_steps: 674
episode: 2200 | avg score: 192.6 | learning_steps: 702
episode: 2300 | avg score: 197.7 | learning_steps: 731
episode: 2400 | avg score: 184.5 | learning_steps: 761
episode: 2500 | avg score: 161.6 | learning_steps: 791
episode: 2600 | avg score: 197.8 | learning_steps: 819
episode: 2700 | avg score: 187.2 | learning_steps: 849
episode: 2800 | avg score: 194.2 | learning_steps: 878
episode: 2900 | avg score: 192.2 | learning_steps: 908
episode: 3000 | avg score: 214.4 | learning_steps: 936
episode: 3100 | avg score: 186.7 | learning_steps: 965
episode: 3200 | avg score: 160.0 | learning_steps: 998
episode: 3300 | avg score: 178.0 | learning_steps: 1027
episode: 3400 | avg score: 210.3 | learning_steps: 1054
episode: 3500 | avg score: 187.1 | learning_steps: 1083
episode: 3600 | avg score: 194.2 | learning_steps: 1112
episode: 3700 | avg score: 203.7 | learning_steps: 1139
episode: 3800 | avg score: 228.8 | learning_steps: 1167
episode: 3900 | avg score: 230.0 | learning_steps: 1193
episode: 4000 | avg score: 226.5 | learning_steps: 1220
episode: 4100 | avg score: 233.3 | learning_steps: 1247
episode: 4200 | avg score: 230.6 | learning_steps: 1274
episode: 4300 | avg score: 199.5 | learning_steps: 1301
episode: 4400 | avg score: 205.4 | learning_steps: 1328
episode: 4500 | avg score: 220.6 | learning_steps: 1357
episode: 4600 | avg score: 184.5 | learning_steps: 1385
episode: 4700 | avg score: 161.5 | learning_steps: 1416
episode: 4800 | avg score: 122.7 | learning_steps: 1449
episode: 4900 | avg score: 123.4 | learning_steps: 1481
episode: 5000 | avg score: 138.8 | learning_steps: 1512
episode: 5100 | avg score: 122.3 | learning_steps: 1543
episode: 5200 | avg score: 156.3 | learning_steps: 1574
episode: 5300 | avg score: 140.1 | learning_steps: 1605
episode: 5400 | avg score: 133.7 | learning_steps: 1637
episode: 5500 | avg score: 142.9 | learning_steps: 1670
episode: 5600 | avg score: 148.0 | learning_steps: 1702
episode: 5700 | avg score: 180.6 | learning_steps: 1732
episode: 5800 | avg score: 165.6 | learning_steps: 1763
episode: 5900 | avg score: 184.9 | learning_steps: 1792
episode: 6000 | avg score: 193.7 | learning_steps: 1822
episode: 6100 | avg score: 192.5 | learning_steps: 1849
episode: 6200 | avg score: 189.1 | learning_steps: 1878
episode: 6300 | avg score: 199.1 | learning_steps: 1907
episode: 6400 | avg score: 166.5 | learning_steps: 1937
episode: 6500 | avg score: 194.5 | learning_steps: 1967
episode: 6600 | avg score: 197.3 | learning_steps: 1997
episode: 6700 | avg score: 163.2 | learning_steps: 2030
episode: 6800 | avg score: 151.7 | learning_steps: 2061
episode: 6900 | avg score: 167.5 | learning_steps: 2093
episode: 7000 | avg score: 164.0 | learning_steps: 2124
episode: 7100 | avg score: 134.0 | learning_steps: 2157
episode: 7200 | avg score: 125.5 | learning_steps: 2190
episode: 7300 | avg score: 121.8 | learning_steps: 2222
episode: 7400 | avg score: 102.2 | learning_steps: 2256
episode: 7500 | avg score: 120.5 | learning_steps: 2291
episode: 7600 | avg score: 96.9 | learning_steps: 2327
episode: 7700 | avg score: 118.0 | learning_steps: 2361
episode: 7800 | avg score: 121.7 | learning_steps: 2396
episode: 7900 | avg score: 117.7 | learning_steps: 2431
episode: 8000 | avg score: 117.9 | learning_steps: 2465
episode: 8100 | avg score: 167.7 | learning_steps: 2497
episode: 8200 | avg score: 150.0 | learning_steps: 2529
episode: 8300 | avg score: 165.8 | learning_steps: 2560
episode: 8400 | avg score: 160.1 | learning_steps: 2592
episode: 8500 | avg score: 173.8 | learning_steps: 2622
episode: 8600 | avg score: 189.3 | learning_steps: 2653
episode: 8700 | avg score: 206.6 | learning_steps: 2683
episode: 8800 | avg score: 178.4 | learning_steps: 2713
episode: 8900 | avg score: 194.4 | learning_steps: 2743
episode: 9000 | avg score: 182.2 | learning_steps: 2774
episode: 9100 | avg score: 182.3 | learning_steps: 2804
episode: 9200 | avg score: 205.9 | learning_steps: 2834
episode: 9300 | avg score: 188.3 | learning_steps: 2864
episode: 9400 | avg score: 193.7 | learning_steps: 2895
episode: 9500 | avg score: 202.8 | learning_steps: 2925
episode: 9600 | avg score: 189.3 | learning_steps: 2954
episode: 9700 | avg score: 203.8 | learning_steps: 2984
episode: 9800 | avg score: 190.7 | learning_steps: 3014
episode: 9900 | avg score: 193.2 | learning_steps: 3044
episode: 10000 | avg score: 193.1 | learning_steps: 3073
episode: 10100 | avg score: 203.3 | learning_steps: 3101
episode: 10200 | avg score: 197.1 | learning_steps: 3132
episode: 10300 | avg score: 180.0 | learning_steps: 3163
episode: 10400 | avg score: 213.3 | learning_steps: 3190
episode: 10500 | avg score: 189.2 | learning_steps: 3220
episode: 10600 | avg score: 201.0 | learning_steps: 3247
episode: 10700 | avg score: 203.8 | learning_steps: 3274
episode: 10800 | avg score: 199.0 | learning_steps: 3302
episode: 10900 | avg score: 196.4 | learning_steps: 3330
episode: 11000 | avg score: 185.3 | learning_steps: 3358
episode: 11100 | avg score: 185.1 | learning_steps: 3389
episode: 11200 | avg score: 197.2 | learning_steps: 3419
episode: 11300 | avg score: 214.6 | learning_steps: 3445
episode: 11400 | avg score: 197.7 | learning_steps: 3473
episode: 11500 | avg score: 172.3 | learning_steps: 3501
episode: 11600 | avg score: 192.9 | learning_steps: 3528
episode: 11700 | avg score: 209.8 | learning_steps: 3555
episode: 11800 | avg score: 185.2 | learning_steps: 3584
episode: 11900 | avg score: 153.9 | learning_steps: 3614
episode: 12000 | avg score: 174.3 | learning_steps: 3644
episode: 12100 | avg score: 147.3 | learning_steps: 3676
episode: 12200 | avg score: 142.2 | learning_steps: 3707
episode: 12300 | avg score: 157.9 | learning_steps: 3737
episode: 12400 | avg score: 151.9 | learning_steps: 3767
episode: 12500 | avg score: 146.5 | learning_steps: 3797
episode: 12600 | avg score: 121.5 | learning_steps: 3830
episode: 12700 | avg score: 162.9 | learning_steps: 3862
episode: 12800 | avg score: 155.9 | learning_steps: 3891
episode: 12900 | avg score: 175.3 | learning_steps: 3921
episode: 13000 | avg score: 149.2 | learning_steps: 3953
episode: 13100 | avg score: 159.7 | learning_steps: 3983
episode: 13200 | avg score: 155.6 | learning_steps: 4016
episode: 13300 | avg score: 166.7 | learning_steps: 4048
episode: 13400 | avg score: 159.9 | learning_steps: 4081
episode: 13500 | avg score: 164.2 | learning_steps: 4112
episode: 13600 | avg score: 151.9 | learning_steps: 4146
episode: 13700 | avg score: 141.4 | learning_steps: 4180
episode: 13800 | avg score: 141.2 | learning_steps: 4214
episode: 13900 | avg score: 154.8 | learning_steps: 4248
episode: 14000 | avg score: 157.0 | learning_steps: 4280
episode: 14100 | avg score: 151.9 | learning_steps: 4311
episode: 14200 | avg score: 145.6 | learning_steps: 4343
episode: 14300 | avg score: 145.2 | learning_steps: 4376
episode: 14400 | avg score: 145.4 | learning_steps: 4408
episode: 14500 | avg score: 174.3 | learning_steps: 4436
episode: 14600 | avg score: 180.1 | learning_steps: 4467
episode: 14700 | avg score: 149.7 | learning_steps: 4497
episode: 14800 | avg score: 114.8 | learning_steps: 4531
episode: 14900 | avg score: 131.2 | learning_steps: 4564
episode: 15000 | avg score: 143.9 | learning_steps: 4596
episode: 15100 | avg score: 173.2 | learning_steps: 4629
episode: 15200 | avg score: 151.5 | learning_steps: 4663
episode: 15300 | avg score: 186.4 | learning_steps: 4693
episode: 15400 | avg score: 151.2 | learning_steps: 4724
episode: 15500 | avg score: 166.4 | learning_steps: 4754
episode: 15600 | avg score: 166.3 | learning_steps: 4788
episode: 15700 | avg score: 179.5 | learning_steps: 4816
episode: 15800 | avg score: 182.3 | learning_steps: 4845
episode: 15900 | avg score: 197.1 | learning_steps: 4873
episode: 16000 | avg score: 196.2 | learning_steps: 4901
episode: 16100 | avg score: 194.1 | learning_steps: 4931
episode: 16200 | avg score: 178.7 | learning_steps: 4961
episode: 16300 | avg score: 193.1 | learning_steps: 4992
episode: 16400 | avg score: 207.8 | learning_steps: 5019
episode: 16500 | avg score: 174.3 | learning_steps: 5050
episode: 16600 | avg score: 191.0 | learning_steps: 5079
episode: 16700 | avg score: 196.4 | learning_steps: 5108
episode: 16800 | avg score: 174.0 | learning_steps: 5137
episode: 16900 | avg score: 161.9 | learning_steps: 5168
episode: 17000 | avg score: 149.7 | learning_steps: 5199
episode: 17100 | avg score: 150.8 | learning_steps: 5229
episode: 17200 | avg score: 162.3 | learning_steps: 5260
episode: 17300 | avg score: 151.7 | learning_steps: 5292
