Running on host: studgpu-node01.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/catmouse_experiments
Starting on: Wed Jun 26 13:40:54 CEST 2024
SLURM_JOB_ID: 23057
using cuda
episode: 0 | avg score: 280.0 | learning_steps: 0
episode: 100 | avg score: 50.2 | learning_steps: 39
episode: 200 | avg score: 49.3 | learning_steps: 77
episode: 300 | avg score: 39.8 | learning_steps: 116
episode: 400 | avg score: 82.6 | learning_steps: 154
episode: 500 | avg score: 77.6 | learning_steps: 193
episode: 600 | avg score: 139.9 | learning_steps: 231
episode: 700 | avg score: 149.0 | learning_steps: 268
episode: 800 | avg score: 159.7 | learning_steps: 306
episode: 900 | avg score: 185.5 | learning_steps: 341
episode: 1000 | avg score: 132.7 | learning_steps: 378
episode: 1100 | avg score: 140.6 | learning_steps: 415
episode: 1200 | avg score: 138.7 | learning_steps: 452
episode: 1300 | avg score: 160.0 | learning_steps: 489
episode: 1400 | avg score: 159.5 | learning_steps: 526
episode: 1500 | avg score: 162.0 | learning_steps: 563
episode: 1600 | avg score: 154.7 | learning_steps: 600
episode: 1700 | avg score: 163.9 | learning_steps: 637
episode: 1800 | avg score: 157.7 | learning_steps: 673
episode: 1900 | avg score: 154.8 | learning_steps: 710
episode: 2000 | avg score: 164.3 | learning_steps: 747
episode: 2100 | avg score: 182.6 | learning_steps: 782
episode: 2200 | avg score: 156.3 | learning_steps: 819
episode: 2300 | avg score: 173.2 | learning_steps: 855
episode: 2400 | avg score: 164.2 | learning_steps: 891
episode: 2500 | avg score: 176.7 | learning_steps: 928
episode: 2600 | avg score: 178.4 | learning_steps: 964
episode: 2700 | avg score: 182.7 | learning_steps: 1001
episode: 2800 | avg score: 168.0 | learning_steps: 1036
episode: 2900 | avg score: 183.6 | learning_steps: 1072
episode: 3000 | avg score: 172.0 | learning_steps: 1108
episode: 3100 | avg score: 162.7 | learning_steps: 1144
episode: 3200 | avg score: 175.8 | learning_steps: 1180
episode: 3300 | avg score: 179.4 | learning_steps: 1216
episode: 3400 | avg score: 166.3 | learning_steps: 1253
episode: 3500 | avg score: 162.3 | learning_steps: 1288
episode: 3600 | avg score: 178.9 | learning_steps: 1324
episode: 3700 | avg score: 166.0 | learning_steps: 1360
episode: 3800 | avg score: 172.3 | learning_steps: 1396
episode: 3900 | avg score: 159.1 | learning_steps: 1433
episode: 4000 | avg score: 158.9 | learning_steps: 1469
episode: 4100 | avg score: 170.2 | learning_steps: 1506
episode: 4200 | avg score: 159.5 | learning_steps: 1543
episode: 4300 | avg score: 168.8 | learning_steps: 1579
episode: 4400 | avg score: 159.1 | learning_steps: 1616
episode: 4500 | avg score: 172.3 | learning_steps: 1653
episode: 4600 | avg score: 178.6 | learning_steps: 1690
episode: 4700 | avg score: 168.5 | learning_steps: 1725
episode: 4800 | avg score: 161.8 | learning_steps: 1763
episode: 4900 | avg score: 155.6 | learning_steps: 1799
episode: 5000 | avg score: 152.6 | learning_steps: 1836
episode: 5100 | avg score: 157.4 | learning_steps: 1873
episode: 5200 | avg score: 166.4 | learning_steps: 1909
episode: 5300 | avg score: 152.4 | learning_steps: 1946
episode: 5400 | avg score: 155.0 | learning_steps: 1984
episode: 5500 | avg score: 163.4 | learning_steps: 2021
episode: 5600 | avg score: 174.0 | learning_steps: 2057
episode: 5700 | avg score: 179.2 | learning_steps: 2093
episode: 5800 | avg score: 175.2 | learning_steps: 2129
episode: 5900 | avg score: 165.6 | learning_steps: 2166
episode: 6000 | avg score: 147.1 | learning_steps: 2203
episode: 6100 | avg score: 151.6 | learning_steps: 2240
episode: 6200 | avg score: 162.4 | learning_steps: 2277
episode: 6300 | avg score: 185.5 | learning_steps: 2313
episode: 6400 | avg score: 186.3 | learning_steps: 2349
episode: 6500 | avg score: 195.4 | learning_steps: 2385
episode: 6600 | avg score: 157.2 | learning_steps: 2422
episode: 6700 | avg score: 167.6 | learning_steps: 2458
episode: 6800 | avg score: 195.1 | learning_steps: 2494
episode: 6900 | avg score: 176.3 | learning_steps: 2530
episode: 7000 | avg score: 166.1 | learning_steps: 2567
episode: 7100 | avg score: 182.8 | learning_steps: 2604
episode: 7200 | avg score: 182.3 | learning_steps: 2640
episode: 7300 | avg score: 204.4 | learning_steps: 2675
episode: 7400 | avg score: 178.8 | learning_steps: 2712
episode: 7500 | avg score: 168.9 | learning_steps: 2748
episode: 7600 | avg score: 178.8 | learning_steps: 2785
episode: 7700 | avg score: 176.5 | learning_steps: 2822
episode: 7800 | avg score: 186.3 | learning_steps: 2857
episode: 7900 | avg score: 198.1 | learning_steps: 2893
episode: 8000 | avg score: 166.1 | learning_steps: 2930
episode: 8100 | avg score: 178.1 | learning_steps: 2967
episode: 8200 | avg score: 157.2 | learning_steps: 3003
episode: 8300 | avg score: 183.3 | learning_steps: 3039
episode: 8400 | avg score: 194.4 | learning_steps: 3074
episode: 8500 | avg score: 185.3 | learning_steps: 3110
episode: 8600 | avg score: 182.7 | learning_steps: 3145
episode: 8700 | avg score: 183.1 | learning_steps: 3181
episode: 8800 | avg score: 199.4 | learning_steps: 3217
episode: 8900 | avg score: 150.7 | learning_steps: 3255
episode: 9000 | avg score: 189.6 | learning_steps: 3290
episode: 9100 | avg score: 192.6 | learning_steps: 3327
episode: 9200 | avg score: 177.5 | learning_steps: 3363
episode: 9300 | avg score: 181.9 | learning_steps: 3399
episode: 9400 | avg score: 165.6 | learning_steps: 3435
episode: 9500 | avg score: 180.4 | learning_steps: 3470
episode: 9600 | avg score: 187.3 | learning_steps: 3506
episode: 9700 | avg score: 171.6 | learning_steps: 3542
episode: 9800 | avg score: 182.0 | learning_steps: 3578
episode: 9900 | avg score: 179.6 | learning_steps: 3614
episode: 10000 | avg score: 176.8 | learning_steps: 3650
episode: 10100 | avg score: 176.1 | learning_steps: 3687
episode: 10200 | avg score: 185.9 | learning_steps: 3724
episode: 10300 | avg score: 193.4 | learning_steps: 3759
episode: 10400 | avg score: 205.4 | learning_steps: 3794
episode: 10500 | avg score: 170.7 | learning_steps: 3831
episode: 10600 | avg score: 195.0 | learning_steps: 3867
episode: 10700 | avg score: 189.9 | learning_steps: 3902
episode: 10800 | avg score: 201.7 | learning_steps: 3938
episode: 10900 | avg score: 193.3 | learning_steps: 3973
episode: 11000 | avg score: 199.5 | learning_steps: 4009
episode: 11100 | avg score: 183.8 | learning_steps: 4045
episode: 11200 | avg score: 187.9 | learning_steps: 4081
episode: 11300 | avg score: 175.9 | learning_steps: 4118
episode: 11400 | avg score: 181.1 | learning_steps: 4155
episode: 11500 | avg score: 202.9 | learning_steps: 4190
episode: 11600 | avg score: 191.9 | learning_steps: 4226
episode: 11700 | avg score: 183.3 | learning_steps: 4262
episode: 11800 | avg score: 185.8 | learning_steps: 4298
episode: 11900 | avg score: 190.9 | learning_steps: 4334
episode: 12000 | avg score: 187.9 | learning_steps: 4370
episode: 12100 | avg score: 169.5 | learning_steps: 4405
episode: 12200 | avg score: 195.4 | learning_steps: 4441
episode: 12300 | avg score: 174.7 | learning_steps: 4477
episode: 12400 | avg score: 177.8 | learning_steps: 4512
episode: 12500 | avg score: 176.0 | learning_steps: 4547
episode: 12600 | avg score: 197.5 | learning_steps: 4582
episode: 12700 | avg score: 202.3 | learning_steps: 4617
episode: 12800 | avg score: 182.4 | learning_steps: 4652
episode: 12900 | avg score: 184.8 | learning_steps: 4688
episode: 13000 | avg score: 198.8 | learning_steps: 4723
episode: 13100 | avg score: 174.0 | learning_steps: 4759
episode: 13200 | avg score: 167.2 | learning_steps: 4796
episode: 13300 | avg score: 194.8 | learning_steps: 4832
episode: 13400 | avg score: 166.4 | learning_steps: 4869
episode: 13500 | avg score: 190.1 | learning_steps: 4903
episode: 13600 | avg score: 192.8 | learning_steps: 4939
episode: 13700 | avg score: 175.1 | learning_steps: 4974
episode: 13800 | avg score: 204.2 | learning_steps: 5009
episode: 13900 | avg score: 179.2 | learning_steps: 5044
episode: 14000 | avg score: 190.6 | learning_steps: 5080
episode: 14100 | avg score: 199.6 | learning_steps: 5117
episode: 14200 | avg score: 160.3 | learning_steps: 5154
episode: 14300 | avg score: 176.2 | learning_steps: 5190
episode: 14400 | avg score: 176.8 | learning_steps: 5226
episode: 14500 | avg score: 198.3 | learning_steps: 5263
episode: 14600 | avg score: 194.7 | learning_steps: 5298
episode: 14700 | avg score: 194.6 | learning_steps: 5334
episode: 14800 | avg score: 185.3 | learning_steps: 5370
episode: 14900 | avg score: 188.5 | learning_steps: 5406
episode: 15000 | avg score: 194.9 | learning_steps: 5442
episode: 15100 | avg score: 179.2 | learning_steps: 5477
episode: 15200 | avg score: 179.4 | learning_steps: 5514
episode: 15300 | avg score: 188.4 | learning_steps: 5550
episode: 15400 | avg score: 183.6 | learning_steps: 5586
episode: 15500 | avg score: 175.6 | learning_steps: 5622
episode: 15600 | avg score: 196.4 | learning_steps: 5658
episode: 15700 | avg score: 184.5 | learning_steps: 5694
episode: 15800 | avg score: 178.8 | learning_steps: 5731
episode: 15900 | avg score: 180.8 | learning_steps: 5767
episode: 16000 | avg score: 167.5 | learning_steps: 5804
episode: 16100 | avg score: 191.6 | learning_steps: 5840
episode: 16200 | avg score: 183.9 | learning_steps: 5877
episode: 16300 | avg score: 191.7 | learning_steps: 5913
episode: 16400 | avg score: 176.0 | learning_steps: 5950
episode: 16500 | avg score: 202.5 | learning_steps: 5986
episode: 16600 | avg score: 209.2 | learning_steps: 6020
episode: 16700 | avg score: 205.3 | learning_steps: 6056
episode: 16800 | avg score: 206.8 | learning_steps: 6092
episode: 16900 | avg score: 214.9 | learning_steps: 6128
episode: 17000 | avg score: 181.5 | learning_steps: 6164
episode: 17100 | avg score: 195.9 | learning_steps: 6200
episode: 17200 | avg score: 190.3 | learning_steps: 6236
episode: 17300 | avg score: 188.5 | learning_steps: 6271
episode: 17400 | avg score: 195.7 | learning_steps: 6307
episode: 17500 | avg score: 177.4 | learning_steps: 6343
episode: 17600 | avg score: 192.6 | learning_steps: 6379
episode: 17700 | avg score: 188.2 | learning_steps: 6416
episode: 17800 | avg score: 199.7 | learning_steps: 6452
episode: 17900 | avg score: 182.4 | learning_steps: 6488
episode: 18000 | avg score: 208.9 | learning_steps: 6525
episode: 18100 | avg score: 204.5 | learning_steps: 6560
episode: 18200 | avg score: 176.6 | learning_steps: 6596
episode: 18300 | avg score: 181.1 | learning_steps: 6633
episode: 18400 | avg score: 193.5 | learning_steps: 6669
episode: 18500 | avg score: 180.8 | learning_steps: 6706
episode: 18600 | avg score: 192.7 | learning_steps: 6742
episode: 18700 | avg score: 194.3 | learning_steps: 6778
episode: 18800 | avg score: 187.3 | learning_steps: 6814
episode: 18900 | avg score: 200.6 | learning_steps: 6851
episode: 19000 | avg score: 198.7 | learning_steps: 6886
episode: 19100 | avg score: 181.7 | learning_steps: 6922
episode: 19200 | avg score: 211.1 | learning_steps: 6957
episode: 19300 | avg score: 181.4 | learning_steps: 6992
episode: 19400 | avg score: 183.9 | learning_steps: 7029
episode: 19500 | avg score: 196.3 | learning_steps: 7065
episode: 19600 | avg score: 157.9 | learning_steps: 7101
episode: 19700 | avg score: 177.8 | learning_steps: 7137
episode: 19800 | avg score: 194.0 | learning_steps: 7172
episode: 19900 | avg score: 175.6 | learning_steps: 7208
episode: 20000 | avg score: 154.8 | learning_steps: 7245
episode: 20100 | avg score: 168.6 | learning_steps: 7281
episode: 20200 | avg score: 181.9 | learning_steps: 7318
episode: 20300 | avg score: 182.2 | learning_steps: 7353
episode: 20400 | avg score: 179.0 | learning_steps: 7390
episode: 20500 | avg score: 173.2 | learning_steps: 7426
episode: 20600 | avg score: 154.5 | learning_steps: 7462
episode: 20700 | avg score: 167.4 | learning_steps: 7498
episode: 20800 | avg score: 150.0 | learning_steps: 7535
episode: 20900 | avg score: 133.7 | learning_steps: 7571
episode: 21000 | avg score: 114.1 | learning_steps: 7608
episode: 21100 | avg score: 131.5 | learning_steps: 7644
episode: 21200 | avg score: 164.6 | learning_steps: 7680
episode: 21300 | avg score: 149.5 | learning_steps: 7716
episode: 21400 | avg score: 144.6 | learning_steps: 7752
episode: 21500 | avg score: 158.1 | learning_steps: 7787
episode: 21600 | avg score: 163.2 | learning_steps: 7823
episode: 21700 | avg score: 156.3 | learning_steps: 7859
episode: 21800 | avg score: 180.0 | learning_steps: 7895
episode: 21900 | avg score: 151.9 | learning_steps: 7930
episode: 22000 | avg score: 164.2 | learning_steps: 7967
episode: 22100 | avg score: 189.1 | learning_steps: 8002
