Running on host: studgpu-node01.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/catmouse_experiments
Starting on: Thu Jun 27 00:05:08 CEST 2024
SLURM_JOB_ID: 23135
using cuda
episode: 11100 | avg score: 94.3 | learning_steps: 4193
episode: 11200 | avg score: 101.3 | learning_steps: 4231
episode: 11300 | avg score: 109.5 | learning_steps: 4269
episode: 11400 | avg score: 90.3 | learning_steps: 4306
episode: 11500 | avg score: 78.3 | learning_steps: 4344
episode: 11600 | avg score: 89.5 | learning_steps: 4382
episode: 11700 | avg score: 83.6 | learning_steps: 4421
episode: 11800 | avg score: 105.7 | learning_steps: 4458
episode: 11900 | avg score: 113.8 | learning_steps: 4495
episode: 12000 | avg score: 83.7 | learning_steps: 4533
episode: 12100 | avg score: 96.6 | learning_steps: 4571
episode: 12200 | avg score: 114.3 | learning_steps: 4608
episode: 12300 | avg score: 91.8 | learning_steps: 4646
episode: 12400 | avg score: 105.2 | learning_steps: 4684
episode: 12500 | avg score: 103.0 | learning_steps: 4721
episode: 12600 | avg score: 86.5 | learning_steps: 4759
episode: 12700 | avg score: 104.9 | learning_steps: 4797
episode: 12800 | avg score: 94.8 | learning_steps: 4834
episode: 12900 | avg score: 96.2 | learning_steps: 4872
episode: 13000 | avg score: 92.5 | learning_steps: 4909
episode: 13100 | avg score: 93.2 | learning_steps: 4947
episode: 13200 | avg score: 83.9 | learning_steps: 4985
episode: 13300 | avg score: 90.6 | learning_steps: 5023
episode: 13400 | avg score: 102.4 | learning_steps: 5059
episode: 13500 | avg score: 96.3 | learning_steps: 5096
episode: 13600 | avg score: 122.3 | learning_steps: 5133
episode: 13700 | avg score: 66.8 | learning_steps: 5171
episode: 13800 | avg score: 89.9 | learning_steps: 5210
episode: 13900 | avg score: 90.0 | learning_steps: 5247
episode: 14000 | avg score: 106.9 | learning_steps: 5285
episode: 14100 | avg score: 90.4 | learning_steps: 5323
episode: 14200 | avg score: 97.8 | learning_steps: 5361
episode: 14300 | avg score: 112.5 | learning_steps: 5398
episode: 14400 | avg score: 94.9 | learning_steps: 5436
episode: 14500 | avg score: 113.9 | learning_steps: 5473
episode: 14600 | avg score: 115.0 | learning_steps: 5512
episode: 14700 | avg score: 97.7 | learning_steps: 5549
episode: 14800 | avg score: 77.7 | learning_steps: 5588
episode: 14900 | avg score: 95.6 | learning_steps: 5626
episode: 15000 | avg score: 103.1 | learning_steps: 5663
episode: 15100 | avg score: 74.2 | learning_steps: 5701
episode: 15200 | avg score: 95.4 | learning_steps: 5738
episode: 15300 | avg score: 115.6 | learning_steps: 5776
episode: 15400 | avg score: 101.8 | learning_steps: 5813
episode: 15500 | avg score: 122.4 | learning_steps: 5850
episode: 15600 | avg score: 97.8 | learning_steps: 5887
episode: 15700 | avg score: 96.6 | learning_steps: 5925
episode: 15800 | avg score: 101.2 | learning_steps: 5962
episode: 15900 | avg score: 91.7 | learning_steps: 6000
episode: 16000 | avg score: 78.9 | learning_steps: 6038
episode: 16100 | avg score: 119.5 | learning_steps: 6075
episode: 16200 | avg score: 110.8 | learning_steps: 6113
episode: 16300 | avg score: 99.2 | learning_steps: 6150
episode: 16400 | avg score: 93.8 | learning_steps: 6189
episode: 16500 | avg score: 105.5 | learning_steps: 6227
episode: 16600 | avg score: 105.1 | learning_steps: 6264
episode: 16700 | avg score: 98.9 | learning_steps: 6302
episode: 16800 | avg score: 116.0 | learning_steps: 6340
episode: 16900 | avg score: 101.9 | learning_steps: 6378
